AnimationName,Timestamp,LeftFoot_P_x,LeftFoot_P_y,LeftFoot_P_z,RightFoot_P_x,RightFoot_P_y,RightFoot_P_z,Neck_P_x,Neck_P_y,Neck_P_z,LeftFoot_V_x,LeftFoot_V_y,LeftFoot_V_z,RightFoot_V_x,RightFoot_V_y,RightFoot_V_z,Neck_V_x,Neck_V_y,Neck_V_z
Left180_1,0.229196,,-0.08123917,0.04198649,-0.1487689,0.3508988,0.04503137,-0.0117235,-0.0620734,1.437238,0.1011921,-0.7588331,-0.08061212,-0.8478776,0.4846722,-0.1376344,2.222758,0.01905151,-0.02077222,-0.05142726
Left180_1,0.2461456,,-0.08789303,0.04137209,-0.1545335,0.354216,0.04470842,0.003750686,-0.06214149,1.436941,0.101414,-0.332693,-0.03071968,-0.2882294,0.1658604,-0.01614746,0.7737095,-0.003404729,-0.0148356,0.01109764
Left180_1,0.2630952,,-0.09432594,0.04076599,-0.1595449,0.3564655,0.04480448,0.01754367,-0.06222904,1.436604,0.1018009,-0.3216453,-0.03030542,-0.2505727,0.1124769,0.004803017,0.689649,-0.004377589,-0.01686215,0.01934208
Left180_1,0.28008,,-0.1018378,0.04030317,-0.1634295,0.3599323,0.04500207,0.02966566,-0.06290233,1.436394,0.1020119,-0.3755927,-0.02314094,-0.1942299,0.1733363,0.009879842,0.6060997,-0.03366433,-0.0104785,0.01054853
Left180_1,0.2970647,,-0.1094686,0.03990472,-0.1669741,0.3621908,0.04616118,0.04087438,-0.0637008,1.436126,0.1022139,-0.3815413,-0.01992248,-0.177227,0.112927,0.05795546,0.5604358,-0.03992356,-0.01342893,0.01010448
Left180_1,0.3142251,,-0.1189765,0.03847536,-0.1717569,0.3595381,0.04642037,0.05782941,-0.06423259,1.436016,0.1001455,-0.4753944,-0.07146765,-0.2391398,-0.1326367,0.01295917,0.8477519,-0.02658926,-0.005471706,-0.1034234
Left180_1,0.3482274,,-0.1349716,0.03636732,-0.1806919,0.35254,0.04700191,0.08848017,-0.06409788,1.435458,0.09714857,-0.7997565,-0.1054022,-0.4467495,-0.3499061,0.02907719,1.532538,0.006735325,-0.02788901,-0.1498457
Left180_1,0.3674469,,-0.141747,0.03570382,-0.1847984,0.3483827,0.04744844,0.1019488,-0.06309555,1.434981,0.09683108,-0.3387675,-0.03317501,-0.2053246,-0.2078637,0.0223266,0.6734341,0.05011633,-0.02385378,-0.01587421
Left180_1,0.3843977,,-0.1481439,0.03466598,-0.1878162,0.3440033,0.04749871,0.1127516,-0.06135646,1.434745,0.0965284,-0.3198482,-0.0518918,-0.1508921,-0.2189666,0.00251364,0.5401388,0.08695479,-0.01182556,-0.01513399
Left180_1,0.4013466,,-0.1546353,0.03369913,-0.1910105,0.3394366,0.04762933,0.1235493,-0.05957663,1.434475,0.09624931,-0.3245667,-0.04834291,-0.1597129,-0.2283365,0.006530993,0.5398833,0.08899141,-0.01350045,-0.01395456
Left180_1,0.4182958,,-0.164954,0.03215747,-0.1956767,0.3336762,0.04713584,0.1344427,-0.05722186,1.434216,0.09635502,-0.5159363,-0.07708278,-0.2333112,-0.2880231,-0.02467483,0.5446699,0.1177384,-0.01293421,0.005285442
Left180_1,0.4352462,,-0.17444,0.03117732,-0.2006911,0.3276106,0.04663315,0.1452188,-0.05485783,1.433873,0.09632564,-0.474301,-0.04900759,-0.2507187,-0.3032759,-0.02513435,0.5388066,0.1182016,-0.01716018,-0.001469254
Left180_1,0.4691435,,-0.1882606,0.03051647,-0.2123923,0.3117314,0.04555942,0.1641945,-0.04932752,1.432962,0.09461243,-0.6910279,-0.0330423,-0.5850598,-0.7939622,-0.05368665,0.948783,0.2765155,-0.04556179,-0.08566007
Left180_1,0.4861203,,-0.1961893,0.03129651,-0.2165582,0.3043034,0.04478481,0.1699267,-0.04679727,1.432677,0.09384632,-0.3964342,0.03900211,-0.2082996,-0.371398,-0.03873035,0.2866119,0.1265125,-0.01421571,-0.03830567
Left180_1,0.5030692,,-0.2042087,0.03236958,-0.2203842,0.2967199,0.04426237,0.1756567,-0.04429123,1.432371,0.09287443,-0.4009709,0.05365331,-0.1912966,-0.3791764,-0.02612211,0.2864979,0.1253022,-0.01530647,-0.04859455
Left180_1,0.5219263,,-0.2144331,0.03417285,-0.2228822,0.2873895,0.04299106,0.1823282,-0.0415278,1.432341,0.0907401,-0.5112201,0.09016357,-0.1248993,-0.4665196,-0.06356556,0.3335774,0.1381716,-0.001519918,-0.1067165
Left180_1,0.5390954,,-0.2228081,0.03606622,-0.2249617,0.2801967,0.0418457,0.1868747,-0.03936693,1.432345,0.08888043,-0.4187502,0.09466819,-0.1039758,-0.3596395,-0.05726796,0.2273262,0.1080431,0.0002086163,-0.09298325
Left180_1,0.5560715,,-0.22962,0.03817568,-0.226548,0.275455,0.0404784,0.1891039,-0.03783585,1.432506,0.08713204,-0.3405966,0.1054732,-0.0793159,-0.2370849,-0.06836504,0.1114592,0.07655416,0.008070469,-0.08741952
Left180_1,0.5730799,,-0.2363079,0.04047885,-0.2275648,0.27163,0.03865514,0.1890773,-0.03658286,1.432768,0.08544514,-0.3343917,0.1151586,-0.05083829,-0.1912504,-0.0911627,-0.001332909,0.0626497,0.01308322,-0.08434542
Left180_1,0.6070877,,-0.2498055,0.04583682,-0.2282482,0.2677008,0.03457965,0.1843674,-0.03494496,1.433544,0.08182273,-0.6748833,0.2678985,-0.0341706,-0.1964599,-0.2037747,-0.2354935,0.08189473,0.0387907,-0.1811203
Left180_1,0.624065,,-0.2571555,0.0491093,-0.2291053,0.2676005,0.03244119,0.17951,-0.03417385,1.433993,0.07987475,-0.3674977,0.1636241,-0.04285648,-0.005015731,-0.1069231,-0.2428696,0.03855545,0.02247095,-0.09739883
Left180_1,0.6410577,,-0.2651207,0.05286889,-0.2306137,0.2681453,0.03028877,0.1726952,-0.03346219,1.43449,0.07734787,-0.3982589,0.1879793,-0.07541776,0.02723783,-0.1076207,-0.3407404,0.03558304,0.02483726,-0.1263443
Left180_1,0.6581482,,-0.2736807,0.05721161,-0.2329799,0.2695183,0.0284705,0.1634609,-0.03289893,1.434996,0.07413552,-0.4280046,0.217136,-0.1183137,0.06865412,-0.09091376,-0.4617155,0.02816319,0.02530217,-0.1606174
Left180_1,0.6773539,,-0.2826373,0.06098394,-0.2346596,0.2701467,0.02844914,0.1540175,-0.03150675,1.435487,0.070951,-0.4478276,0.1886165,-0.08398443,0.03141612,-0.001067761,-0.4721716,0.0696091,0.02456307,-0.159226
Left180_1,0.6943058,,-0.2900915,0.06351952,-0.235389,0.2699967,0.02977717,0.1462249,-0.0297316,1.435888,0.06841373,-0.3727093,0.1267789,-0.03646761,-0.007499754,0.06640106,-0.3896266,0.08875737,0.02002716,-0.1268636
Left180_1,0.7282032,,-0.3071797,0.0656653,-0.232192,0.2729615,0.04087985,0.1222618,-0.02349005,1.436432,0.06802618,-0.8544102,0.1072895,0.1598477,0.1482427,0.5551342,-1.198155,0.3120773,0.0272274,-0.01937747
Left180_1,0.7451528,,-0.3127899,0.06831948,-0.2328295,0.2722984,0.04344798,0.1134273,-0.02154718,1.436369,0.06883106,-0.2805129,0.1327086,-0.03187358,-0.03315508,0.1284065,-0.4417252,0.09714375,-0.003147125,0.04024431
Left180_1,0.7621017,,-0.3173763,0.07166869,-0.2346244,0.2708264,0.04435047,0.1064266,-0.02020444,1.43619,0.06986266,-0.2293199,0.1674607,-0.08974522,-0.07359982,0.04512463,-0.3500357,0.06713709,-0.008994341,0.05157962
Left180_1,0.7790509,,-0.3227119,0.07509224,-0.2363414,0.2689767,0.04471043,0.1000286,-0.01817831,1.436226,0.07036374,-0.2667785,0.1711775,-0.08585006,-0.09248704,0.017998,-0.3198985,0.1013063,0.00180006,0.02505407
Left180_1,0.7959997,,-0.328274,0.07855983,-0.2380033,0.2669883,0.04494264,0.09390847,-0.01590477,1.43632,0.07065662,-0.2781034,0.1733795,-0.08309707,-0.09941906,0.01161061,-0.306008,0.1136771,0.004738569,0.01464412
Left180_1,0.812968,,-0.336167,0.08196244,-0.2372632,0.2636673,0.04587791,0.08563603,-0.01185996,1.436429,0.07178468,-0.3946528,0.1701303,0.03700852,-0.1660496,0.04676357,-0.4136223,0.2022402,0.005435944,0.05640276
Left180_1,0.8492547,,-0.3520887,0.08802246,-0.2322893,0.2559761,0.04766315,0.0681436,-0.003259813,1.436616,0.07383767,-0.7960841,0.303001,0.2486929,-0.3845632,0.08926187,-0.8746215,0.4300076,0.009351969,0.1026496
Left180_1,0.8662048,,-0.3581097,0.09006327,-0.228935,0.2525447,0.04800009,0.06086112,1.944768E-05,1.43671,0.07428709,-0.3010482,0.1020405,0.1677148,-0.171566,0.01684688,-0.3641239,0.163963,0.004684925,0.02247132
Left180_1,0.8831532,,-0.363997,0.09206399,-0.226701,0.2499834,0.0478243,0.05357579,0.003612423,1.43688,0.07467858,-0.294368,0.100036,0.1117006,-0.128068,-0.00878945,-0.3642667,0.1796488,0.008499622,0.01957417
Left180_1,0.9001024,,-0.3699078,0.09401102,-0.2242914,0.2472968,0.04764635,0.04645017,0.007215696,1.436982,0.07494177,-0.2955377,0.09735152,0.1204811,-0.1343273,-0.008897483,-0.3562808,0.1801637,0.005090237,0.01315959
Left180_1,0.9170517,,-0.3769954,0.09736581,-0.2210236,0.2433702,0.04532317,0.03829985,0.01337048,1.437125,0.0752988,-0.3543794,0.1677398,0.1633905,-0.1963317,-0.1161588,-0.407516,0.3077393,0.007158518,0.01785159
Left180_1,0.9340017,,-0.3837942,0.1005403,-0.2174791,0.239473,0.04317284,0.03043062,0.0193332,1.437233,0.0754729,-0.3399402,0.1587227,0.1772262,-0.194858,-0.1075165,-0.3934614,0.2981358,0.005424023,0.008704886
Left180_1,0.9679124,,-0.3874614,0.09956399,-0.2082886,0.2387713,0.04168352,0.01954678,0.02196853,1.438621,0.07479807,-0.1833618,-0.04881397,0.4595213,-0.03508478,-0.07446595,-0.5441922,0.1317665,0.06937385,-0.03374144
Left180_1,0.9862579,,-0.3898376,0.09802247,-0.2036682,0.2395048,0.04055776,0.01297572,0.02314625,1.43921,0.07469938,-0.1188084,-0.07707588,0.2310202,0.0366725,-0.05628839,-0.3285531,0.05888622,0.02946258,-0.00493452
Left180_1,1.003208,,-0.3923339,0.09678746,-0.1987394,0.239997,0.03946935,0.006618335,0.02447731,1.439819,0.07396386,-0.1248136,-0.06175041,0.2464391,0.0246115,-0.05442053,-0.3178692,0.06655278,0.03044605,-0.03677607
Left180_1,1.020159,,-0.3959384,0.09646603,-0.1916367,0.2396931,0.037962,-0.001187417,0.0268368,1.440738,0.07055587,-0.1802266,-0.01607127,0.3551356,-0.01519769,-0.07536747,-0.3902876,0.1179747,0.04596114,-0.1703992
Left180_1,1.037757,,-0.3991989,0.09602272,-0.1839302,0.2392079,0.03651939,-0.008851144,0.02923503,1.441504,0.06747261,-0.1630247,-0.02216585,0.3853247,-0.02425686,-0.07213056,-0.3831863,0.1199114,0.03829598,-0.1541633
Left180_1,1.054908,,-0.4014086,0.09559373,-0.1760081,0.2383686,0.03520004,-0.01520033,0.03167609,1.441855,0.06596127,-0.1104861,-0.02144948,0.3961064,-0.04196614,-0.06596725,-0.3174595,0.1220531,0.01754761,-0.07556677
Left180_1,1.088804,,-0.4049565,0.09429605,-0.160717,0.238576,0.03328186,-0.02819397,0.03529543,1.442446,0.06387469,-0.1773968,-0.06488375,0.7645555,0.01037046,-0.09590909,-0.6496817,0.1809668,0.02955794,-0.104329
Left180_1,1.105803,,-0.4067514,0.09332019,-0.1526759,0.2387597,0.03230689,-0.03423157,0.03741134,1.442715,0.06295359,-0.08974224,-0.04879311,0.4020557,0.009182841,-0.04874822,-0.3018801,0.1057955,0.01344681,-0.04605502
Left180_1,1.122827,,-0.4090838,0.09197585,-0.1436359,0.238225,0.03091675,-0.03902464,0.0407412,1.442965,0.06177416,-0.116621,-0.06721728,0.4519992,-0.02673119,-0.06950721,-0.2396533,0.1664931,0.01251698,-0.05897153
Left180_1,1.141626,,-0.4106008,0.08985221,-0.1314238,0.2368201,0.02836467,-0.0434594,0.04513672,1.443383,0.05892735,-0.07584691,-0.1061819,0.6106027,-0.07024482,-0.1276039,-0.2217384,0.2197759,0.02087355,-0.1423407
Left180_1,1.15879,,-0.4106995,0.087244,-0.1176722,0.234661,0.02491007,-0.04645774,0.04990929,1.443901,0.05450067,-0.004939735,-0.1304105,0.6875806,-0.1079574,-0.1727304,-0.1499167,0.2386285,0.02589822,-0.2213338
Left180_1,1.175727,,-0.4086747,0.08426861,-0.1047656,0.2329169,0.02227875,-0.05031072,0.05255586,1.4443,0.0513966,0.1012444,-0.1487695,0.6453332,-0.08720309,-0.131566,-0.1926489,0.1323286,0.01996756,-0.1552034
Left180_1,1.209763,,-0.3985108,0.07719075,-0.07703637,0.2298243,0.01774538,-0.05992026,0.05441203,1.444951,0.04709769,0.5081952,-0.3538929,1.38646,-0.1546331,-0.2266681,-0.480477,0.09280872,0.03256202,-0.2149455
Left180_1,1.226722,,-0.3901547,0.07333535,-0.05904921,0.2281366,0.01478908,-0.06474413,0.05540987,1.445179,0.0443599,0.4178017,-0.19277,0.8993579,-0.08438155,-0.1478152,-0.2411937,0.04989207,0.01137257,-0.1368893
Left180_1,1.243671,,-0.3825477,0.07023563,-0.04340292,0.2265443,0.01253527,-0.06922738,0.0556974,1.445356,0.04261415,0.3803506,-0.1549859,0.7823144,-0.0796169,-0.1126905,-0.2241626,0.01437645,0.008833408,-0.08728784
Left180_1,1.260621,,-0.3754723,0.06762698,-0.02923079,0.2249999,0.01073661,-0.07355083,0.05551583,1.445503,0.04153894,0.35377,-0.1304328,0.7086065,-0.07722229,-0.08993303,-0.2161723,-0.009078719,0.007396936,-0.05376022
Left180_1,1.277569,,-0.3690216,0.06537455,-0.01510075,0.2235295,0.009095239,-0.07848042,0.05517566,1.445629,0.04107313,0.3225341,-0.1126211,0.7065023,-0.07352009,-0.08206847,-0.2464794,-0.01700837,0.006276369,-0.0232907
Left180_1,1.295942,,-0.3624267,0.0633827,0.0002680023,0.2221269,0.007421607,-0.08407989,0.05473448,1.445712,0.04092932,0.3297448,-0.09959266,0.7684374,-0.07012635,-0.08368162,-0.2799738,-0.02205893,0.004136562,-0.007190183
Left180_1,1.329843,,-0.3452922,0.06116612,0.0419153,0.2168837,0.003066954,-0.1021039,0.05353177,1.444949,0.04020234,0.8567274,-0.1108291,2.082365,-0.2621599,-0.2177327,-0.9012007,-0.06013568,-0.03811717,-0.03634915
Left180_1,1.346795,,-0.3375141,0.06138971,0.05971874,0.2149095,0.00154308,-0.1102262,0.05267988,1.444403,0.03992005,0.3889039,0.0111796,0.8901723,-0.09870976,-0.07619371,-0.4061162,-0.0425946,-0.02734065,-0.01411475
Left180_1,1.363743,,-0.3297943,0.06214832,0.07646185,0.2131076,0.0001974818,-0.1179539,0.05178588,1.443797,0.03967543,0.3859922,0.03793053,0.8371555,-0.09009466,-0.06727992,-0.3863826,-0.04469994,-0.03029704,-0.01223106
Left180_1,1.38069,,-0.3224469,0.06317412,0.09102471,0.2114695,-0.0007206702,-0.1255813,0.05064831,1.443117,0.04005631,0.3673688,0.05128998,0.728143,-0.08190572,-0.0459076,-0.3813714,-0.05687866,-0.03396273,0.01904406
Left180_1,1.397764,,-0.3148556,0.06452413,0.105215,0.2097466,-0.001567741,-0.1332283,0.04948787,1.442377,0.04057924,0.3795624,0.0675004,0.7095125,-0.08614808,-0.04235352,-0.3823511,-0.05802177,-0.03703237,0.02614688
Left180_1,1.414728,,-0.3077435,0.06605235,0.1191724,0.2079308,-0.002173985,-0.1410451,0.04820532,1.441549,0.04142582,0.3556088,0.07641129,0.697871,-0.0907883,-0.03031223,-0.3908373,-0.06412771,-0.04136562,0.0423288
Left180_1,1.431728,,-0.3004313,0.06787935,0.1329501,0.2059585,-0.002761989,-0.1488889,0.0469446,1.44066,0.04233924,0.365606,0.09134971,0.6888859,-0.09861514,-0.0294002,-0.3921933,-0.06303582,-0.04449487,0.04567076
Left180_1,1.468088,,-0.2818065,0.07225683,0.1667964,0.2027905,-0.002071429,-0.1688728,0.04738223,1.438164,0.04364039,0.9312436,0.2188738,1.692314,-0.1583986,0.03452802,-0.9991929,0.02188161,-0.1247883,0.06505772
Left180_1,1.485708,,-0.2748136,0.07415868,0.1777929,0.2018205,-0.002164191,-0.1725738,0.04695908,1.437762,0.04043017,0.3496423,0.09509288,0.549826,-0.0485003,-0.004638103,-0.1850523,-0.0211576,-0.02009273,-0.1605112
Left180_1,1.502746,,-0.2672863,0.07602048,0.1882191,0.2013188,-0.001868298,-0.1771255,0.04596598,1.437406,0.03809673,0.3763646,0.09308979,0.5213112,-0.0250861,0.01479466,-0.2275847,-0.04965514,-0.01781583,-0.116672
Left180_1,1.519736,,-0.2561867,0.07706399,0.197633,0.203014,0.0004492172,-0.1867964,0.04201379,1.437342,0.03984037,0.5549803,0.0521753,0.4706949,0.08476153,0.1158757,-0.4835427,-0.1976091,-0.003170967,0.08718204
Left180_1,1.536757,,-0.2457434,0.07790826,0.2059812,0.2044663,0.002852921,-0.1961775,0.03810277,1.437234,0.04163507,0.5221665,0.0422135,0.4174091,0.07261112,0.1201852,-0.4690543,-0.1955513,-0.00539422,0.08973535
Left180_1,1.553735,,-0.2378423,0.07701284,0.2098182,0.2056751,0.005290941,-0.2044967,0.03441123,1.437164,0.04314444,0.3950544,-0.04477091,0.1918495,0.06044284,0.121901,-0.4159622,-0.1845772,-0.003534555,0.07546842
Left180_1,1.587749,,-0.2219488,0.07401693,0.2133336,0.2091297,0.01044479,-0.2201926,0.02672032,1.437147,0.04619929,0.7946759,-0.1497954,0.1757704,0.1727276,0.2576922,-0.7847928,-0.3845451,-0.000846386,0.1527423
Left180_1,1.607398,,-0.2122241,0.07155921,0.2129933,0.2108179,0.01375606,-0.2296112,0.02208012,1.437216,0.04804658,0.4862353,-0.1228862,-0.01701266,0.08441359,0.1655638,-0.4709333,-0.2320102,0.00346899,0.09236448
Left180_1,1.624349,,-0.2031293,0.06905652,0.2114518,0.2112651,0.01698904,-0.2387138,0.01795391,1.437317,0.0497461,0.4547372,-0.1251344,-0.07707626,0.0223577,0.1616491,-0.4551291,-0.2063105,0.005042553,0.08497611
Left180_1,1.641297,,-0.1919227,0.06557913,0.2067865,0.2118817,0.02159313,-0.2515717,0.01324926,1.437439,0.05302115,0.5603321,-0.1738694,-0.2332672,0.03082976,0.230204,-0.6428912,-0.2352325,0.006109476,0.1637526
Left180_1,1.658248,,-0.1784314,0.06116963,0.1984348,0.2125383,0.02787032,-0.2685552,0.007925473,1.437535,0.05806852,0.6745651,-0.220475,-0.4175812,0.03283247,0.3138597,-0.8491755,-0.2661893,0.004804134,0.2523683
Left180_1,1.675197,,-0.1666615,0.05918238,0.1917684,0.2133165,0.03364329,-0.2807869,0.001884457,1.437283,0.0618556,0.588493,-0.09936243,-0.3333211,0.03890991,0.2886485,-0.6115854,-0.3020508,-0.01260638,0.1893539
Left180_1,1.709094,,-0.1514953,0.06073662,0.1778051,0.2142273,0.04349728,-0.2964638,-0.01005323,1.435646,0.07050759,0.7583134,0.07771179,-0.6981656,0.04553944,0.4926994,-0.7838443,-0.5968845,-0.08186698,0.4325995
Left180_1,1.726044,,-0.14823,0.06331251,0.1659422,0.2124635,0.04786938,-0.3049415,-0.01380196,1.434024,0.07949097,0.1632623,0.1287945,-0.593146,-0.08819252,0.2186049,-0.4238889,-0.1874363,-0.08107424,0.4491691
Left180_1,1.742993,,-0.1443208,0.06362794,0.1568277,0.2126405,0.05294078,-0.3122574,-0.01673116,1.433197,0.08504932,0.1954615,0.01577176,-0.4557244,0.00885278,0.2535701,-0.3657937,-0.1464599,-0.04137158,0.2779178
Left180_1,1.761879,,-0.1396108,0.06182254,0.1480212,0.2144297,0.05909352,-0.3193221,-0.01934689,1.433088,0.08844222,0.235498,-0.09026993,-0.4403271,0.08945912,0.3076371,-0.353235,-0.1307865,-0.005424023,0.1696449
Left180_1,1.778838,,-0.136991,0.0607435,0.1395703,0.2156074,0.06388275,-0.3256449,-0.02123072,1.433111,0.09138372,0.1309894,-0.05395245,-0.4225425,0.05888417,0.2394617,-0.3161371,-0.09419183,0.00115633,0.1470748
Left180_1,1.79578,,-0.134884,0.06005947,0.1314113,0.2165123,0.06838407,-0.3319333,-0.02292577,1.433141,0.0942366,0.1053505,-0.03420133,-0.4079483,0.04524514,0.2250656,-0.3144249,-0.0847525,0.001502037,0.142644
Left180_1,1.829702,,-0.1298758,0.06028631,0.1128761,0.2184802,0.07679956,-0.3435884,-0.02668587,1.433017,0.1001446,0.250411,0.01134202,-0.9267647,0.09839684,0.4207745,-0.5827516,-0.1880049,-0.006228685,0.2954025
Left180_1,1.846724,,-0.1273094,0.06032566,0.1052816,0.2192729,0.08079571,-0.3486528,-0.02748207,1.432854,0.1030237,0.1283221,0.001967512,-0.3797222,0.03963187,0.1998078,-0.2532214,-0.03980994,-0.008165836,0.1439542
Left180_1,1.863673,,-0.1248347,0.06033834,0.09813492,0.2199884,0.08474405,-0.3534611,-0.02795468,1.432659,0.105871,0.123734,0.0006340444,-0.3573343,0.03577694,0.1974169,-0.2404138,-0.02363054,-0.009721518,0.142362
Left180_1,1.88068,,-0.122917,0.05963602,0.09172659,0.2210216,0.08770297,-0.3564652,-0.02807684,1.432602,0.1082607,0.09588525,-0.03511589,-0.3204163,0.0516586,0.1479458,-0.1502067,-0.006108172,-0.002849102,0.1194876
Left180_1,1.897629,,-0.1211483,0.05883398,0.08551712,0.2220903,0.0904349,-0.3590578,-0.02810949,1.432561,0.1105423,0.08843206,-0.04010219,-0.3104735,0.05343854,0.1365967,-0.1296282,-0.001632236,-0.00205636,0.1140811
Left180_1,1.917343,,-0.1221678,0.05621269,0.07944115,0.2231023,0.09196088,-0.3604143,-0.02753754,1.432565,0.1136735,-0.05097538,-0.1310647,-0.3037989,0.05059987,0.07629916,-0.06782562,0.02859738,0.0001847744,0.1565557
Left180_1,1.934294,,-0.1232805,0.05383958,0.07426602,0.2240739,0.09308352,-0.3612722,-0.02697969,1.432542,0.116414,-0.05563051,-0.1186555,-0.2587561,0.0485763,0.05613156,-0.04289597,0.02789255,-0.001144409,0.1370255
Left180_1,1.968606,,-0.1213993,0.04999179,0.06170457,0.2268659,0.09787314,-0.3632358,-0.02643551,1.432243,0.1219313,0.09405576,-0.1923895,-0.6280728,0.1396,0.239481,-0.09817779,0.02720896,-0.01496077,0.2758659
Left180_1,1.985556,,-0.120415,0.04846455,0.05501772,0.2282041,0.1002367,-0.3617847,-0.02704801,1.431995,0.1245066,0.04921891,-0.07636193,-0.3343424,0.06691068,0.1181804,0.07255226,-0.03062515,-0.01236796,0.1287654
Left180_1,2.00267,,-0.1191378,0.04715315,0.04817006,0.2289321,0.1023232,-0.3596407,-0.0273418,1.431806,0.1267274,0.06385595,-0.06556977,-0.3423831,0.0364013,0.1043204,0.107199,-0.01468947,-0.009453297,0.1110427
Left180_1,2.019621,,-0.1167082,0.04677432,0.04065035,0.227345,0.1032427,-0.354609,-0.02598473,1.432069,0.1269435,0.1214825,-0.0189418,-0.3759857,-0.07935464,0.04597716,0.2515882,0.06785356,0.01314878,0.01080409
Left180_1,2.036588,,-0.1144469,0.0465183,0.03377662,0.2261926,0.103777,-0.3492568,-0.02468109,1.432322,0.1269427,0.1130641,-0.01280084,-0.3436862,-0.05761907,0.02671592,0.2676114,0.06518206,0.01263618,-4.172325E-05
Left180_1,2.05354,,-0.1125774,0.04652316,0.02938625,0.2268404,0.1024288,-0.3427057,-0.0238816,1.432689,0.1261964,0.09347536,0.0002428889,-0.2195186,0.03238842,-0.0674095,0.3275514,0.03997451,0.01837015,-0.03731623
Left180_1,2.089072,,-0.1086157,0.04603084,0.01879571,0.2280179,0.09885137,-0.3276832,-0.02305522,1.433202,0.1258334,0.198086,-0.02461579,-0.529527,0.05887225,-0.1788728,0.7511273,0.04131915,0.02564192,-0.01814663
Left180_1,2.106022,,-0.1071547,0.04551359,0.01366196,0.2286008,0.09629894,-0.3191662,-0.02286856,1.433484,0.1255481,0.07304996,-0.02586246,-0.2566875,0.02914667,-0.1276214,0.4258469,0.009332784,0.01407266,-0.01426712
Left180_1,2.122971,,-0.1065058,0.04471908,0.00907767,0.2293607,0.0926074,-0.3088211,-0.0226366,1.43397,0.1244389,0.03244281,-0.03972556,-0.2292145,0.03799796,-0.184577,0.517258,0.01159804,0.02433062,-0.055461
Left180_1,2.13992,,-0.1056193,0.04390981,0.003937655,0.2300201,0.08810148,-0.2959088,-0.02229441,1.434673,0.1224771,0.04432611,-0.04046354,-0.2570008,0.03296807,-0.2252959,0.6456137,0.0171097,0.03513694,-0.09808764
