uniqueID,AnimationName,Timestamp,Root_P_x_0,Root_P_z_0,Root_F_x_0,Root_F_z_0,Root_P_x_1,Root_P_z_1,Root_F_x_1,Root_F_z_1,Root_P_x_2,Root_P_z_2,Root_F_x_2,Root_F_z_2,Root_P_x_3,Root_P_z_3,Root_F_x_3,Root_F_z_3
13,Left180_1,0.2548184,0.008903566,0.06722735,-0.2163914,0.6510432,-0.0279491,0.1768883,-0.4576322,0.5111314,-0.061921,0.2450611,-0.6146431,0.304789,-0.05349272,0.2049283,-0.6859878,-0.01015827
14,Left180_1,0.2718237,0.005811982,0.06889371,-0.2191496,0.65012,-0.03374101,0.1862545,-0.4666166,0.5029428,-0.06267484,0.2417268,-0.6175221,0.2989131,-0.05271961,0.2013129,-0.6858937,-0.0152428
15,Left180_1,0.2888223,0.001479906,0.07857434,-0.2384613,0.6432874,-0.03600473,0.1891693,-0.4652057,0.5042481,-0.06406251,0.238652,-0.6206632,0.2923348,-0.05344956,0.1991831,-0.6857907,-0.01932941
16,Left180_1,0.3228352,-0.002500542,0.07450148,-0.2189236,0.6501961,-0.03400187,0.1879809,-0.4518854,0.516219,-0.06108577,0.2311596,-0.6145177,0.305042,-0.05201387,0.1918832,-0.6860345,-0.006262237
17,Left180_1,0.3397999,-0.003696614,0.07640415,-0.2162664,0.6510847,-0.03215729,0.1915402,-0.4525649,0.5156235,-0.05960077,0.2265322,-0.6163951,0.3012303,-0.05551197,0.1873551,-0.68487,-0.04044241
18,Left180_1,0.3568186,-0.003389928,0.08018638,-0.2163765,0.6510482,-0.02985394,0.1950837,-0.4555363,0.5130001,-0.05746366,0.2197203,-0.6289739,0.2739969,-0.05571692,0.1847895,-0.6843821,-0.04799828
19,Left180_1,0.3737733,-0.00262694,0.0836257,-0.2188188,0.6502314,-0.02881746,0.2032473,-0.4720749,0.4978231,-0.05301937,0.213775,-0.6324108,0.2659683,-0.05626262,0.1815757,-0.6839801,-0.05342141
20,Left180_1,0.3908003,-0.001465669,0.08644216,-0.2223301,0.6490391,-0.02655318,0.2051346,-0.4748736,0.4951541,-0.04676004,0.2054242,-0.6362552,0.2566357,-0.05705331,0.1775881,-0.6836631,-0.05733621
21,Left180_1,0.4077863,-0.003627453,0.098899,-0.2509418,0.6385223,-0.02410316,0.2067286,-0.4758407,0.4942247,-0.04059533,0.1963031,-0.639402,0.2486917,-0.05788844,0.1731352,-0.6836089,-0.05797809
22,Left180_1,0.4417558,-0.001350926,0.09555102,-0.2373337,0.6437044,-0.01635215,0.2018944,-0.4625911,0.5066478,-0.03082466,0.1814097,-0.6356855,0.2580439,-0.05505215,0.1637455,-0.6849638,-0.03882217
23,Left180_1,0.4587461,-0.0004084696,0.09682709,-0.2426833,0.6417066,-0.01310351,0.1980485,-0.4618149,0.5073555,-0.02393394,0.165269,-0.6496004,0.2206849,-0.06518866,0.1539322,-0.6837361,-0.05645672
24,Left180_1,0.4757498,0.0001472426,0.1014083,-0.2506031,0.6386552,-0.01006123,0.1941779,-0.4612137,0.5079019,-0.01939745,0.1564991,-0.6526738,0.2114225,-0.06777763,0.1468477,-0.6838585,-0.05495761
25,Left180_1,0.4927144,0.000791054,0.1070915,-0.2593587,0.63515,-0.008925062,0.19005,-0.4727751,0.4971582,-0.01577896,0.1503525,-0.6541758,0.206728,-0.06995558,0.1401545,-0.6840836,-0.05207945
26,Left180_1,0.5097221,0.001461329,0.1090476,-0.2576183,0.6358579,-0.007430935,0.1846952,-0.4752029,0.4948381,-0.01316631,0.1441785,-0.6548285,0.2046513,-0.07530844,0.1304787,-0.6843644,-0.04824913
27,Left180_1,0.543718,0.003374575,0.1101319,-0.2491169,0.6392365,-0.003146953,0.1723557,-0.4644468,0.5049472,-0.009583525,0.1321812,-0.6497505,0.2202425,-0.08057962,0.115405,-0.6855479,-0.02657944
28,Left180_1,0.5607474,0.00493749,0.1106084,-0.2467498,0.6401539,-0.002919959,0.166947,-0.4693363,0.5004057,-0.009468113,0.1270449,-0.6521673,0.2129797,-0.09486463,0.1033652,-0.6850734,-0.03683575
29,Left180_1,0.5777014,0.007594727,0.111246,-0.2497864,0.6389752,-0.003221117,0.1610552,-0.4744547,0.4955557,-0.01419873,0.1216279,-0.6627011,0.1775098,-0.1016229,0.09500691,-0.6852465,-0.03346148
30,Left180_1,0.5946916,0.01024947,0.111725,-0.2533833,0.6375574,-0.003866278,0.1538952,-0.4796374,0.490541,-0.0166657,0.1157679,-0.6645911,0.1702978,-0.1089129,0.08668277,-0.6854076,-0.02998136
31,Left180_1,0.611678,0.01212317,0.1107743,-0.2547899,0.6369966,-0.005506738,0.143308,-0.4989446,0.4708894,-0.01959339,0.1099413,-0.6652959,0.1675232,-0.1160229,0.07900804,-0.6856581,-0.02357127
32,Left180_1,0.628692,0.01437502,0.1150621,-0.2721245,0.6297863,-0.004731543,0.1332694,-0.5024043,0.4671964,-0.02305044,0.1042413,-0.6653495,0.1673104,-0.1234743,0.0718936,-0.6858773,-0.01597252
33,Left180_1,0.6626891,0.01995543,0.1020166,-0.2455591,0.6406117,0.001443841,0.1101235,-0.4868413,0.4833924,-0.02334752,0.08893913,-0.6574449,0.1960837,-0.1366188,0.06038851,-0.6857337,0.02126072
34,Left180_1,0.6796383,0.02216933,0.09944392,-0.2426021,0.6417373,0.002903449,0.09636039,-0.4896789,0.4805175,-0.02679468,0.08256121,-0.6561028,0.2005282,-0.1635541,0.05203276,-0.6856371,0.02417661
35,Left180_1,0.6965868,0.0240722,0.09692801,-0.2401404,0.6426626,0.00300152,0.08332273,-0.4934944,0.4765983,-0.04039194,0.07632805,-0.6595008,0.1890536,-0.1740668,0.04701743,-0.6851245,0.03587521
36,Left180_1,0.7135356,0.02454943,0.08797024,-0.2312159,0.6459271,0.0019471,0.06187558,-0.5147958,0.4535061,-0.04663317,0.0671109,-0.6566778,0.1986379,-0.1891971,0.04143,-0.6845336,0.04578575
37,Left180_1,0.7306692,0.02421624,0.07805353,-0.2216107,0.6492851,0.0006858419,0.04718005,-0.5150576,0.4532089,-0.05299736,0.05735438,-0.6530056,0.2103958,-0.2051483,0.03632402,-0.6837398,0.05641456
38,Left180_1,0.7476942,0.02176075,0.07161899,-0.2358448,0.6442513,-0.0003266984,0.03792904,-0.5178513,0.4500138,-0.06310446,0.04868998,-0.6524012,0.2122622,-0.2173495,0.03173342,-0.683183,0.06279749
39,Left180_1,0.7816179,0.0181845,0.05854227,-0.2303054,0.6462522,-0.003671155,0.02394711,-0.5131859,0.4553271,-0.07630926,0.03539788,-0.6484079,0.2241645,-0.2314254,0.02558788,-0.6813489,0.08028897
40,Left180_1,0.7986311,0.01520105,0.05389629,-0.2374937,0.6436453,-0.006031576,0.01918904,-0.5171549,0.4508141,-0.09572877,0.02913638,-0.6524789,0.212023,-0.25371,0.02382505,-0.6815032,0.07896774
41,Left180_1,0.815664,0.01039067,0.04912564,-0.24111,0.6422994,-0.01098259,0.01480008,-0.5203223,0.4471547,-0.1076339,0.02464015,-0.6503975,0.2183242,-0.269257,0.02451585,-0.680204,0.08947133
42,Left180_1,0.832702,0.005140548,0.04430929,-0.2442397,0.641116,-0.0203134,0.01226062,-0.5414049,0.4213826,-0.1199862,0.0207385,-0.6480213,0.2252795,-0.2845812,0.02628843,-0.6786606,0.1005107
43,Left180_1,0.8496497,0.0006209093,0.0394677,-0.2473802,0.6399105,-0.02617407,0.009475254,-0.5436134,0.4185297,-0.1307785,0.0180965,-0.6453744,0.232754,-0.2957473,0.02995591,-0.6768574,0.1120123
44,Left180_1,0.8836457,-0.008009566,0.02750288,-0.2545263,0.6371019,-0.03482684,0.003159406,-0.5330704,0.4318778,-0.1436643,0.01504999,-0.6359512,0.2573885,-0.3080528,0.03768369,-0.6712795,0.1416553
45,Left180_1,0.9006187,-0.01224417,0.01985031,-0.2590712,0.6352674,-0.04107988,0.001230102,-0.5331085,0.4318311,-0.161101,0.01717162,-0.6326944,0.2652934,-0.3235122,0.04419494,-0.669834,0.1483416
46,Left180_1,0.9176449,-0.01663397,0.009339524,-0.2652462,0.632714,-0.04763791,-0.0007670539,-0.5326693,0.4323724,-0.1904894,0.02132658,-0.6327896,0.2650659,-0.3289787,0.04985239,-0.6668436,0.1612522
47,Left180_1,0.9345925,-0.02159262,-0.0004994511,-0.2722764,0.6297206,-0.05430201,-0.002078239,-0.5320126,0.4331803,-0.2030747,0.02260067,-0.6292261,0.2734176,-0.3348112,0.05562288,-0.6638837,0.1730355
48,Left180_1,0.9516121,-0.0252921,-0.007030363,-0.2834589,0.6247671,-0.06821425,0.002435745,-0.5436379,0.4184979,-0.2169269,0.028219,-0.6290565,0.2738077,-0.3408568,0.06168726,-0.6623918,0.178661
49,Left180_1,0.9686699,-0.03099817,-0.01839703,-0.320019,0.6068528,-0.0745465,0.003761355,-0.5432158,0.4190458,-0.2305484,0.03459636,-0.6288635,0.2742506,-0.3463098,0.068064,-0.6607141,0.1847685
50,Left180_1,1.002626,-0.0323135,-0.02311843,-0.3147389,0.6096082,-0.0786097,0.005899921,-0.5316124,0.4336715,-0.2382491,0.04474305,-0.6199592,0.293825,-0.347366,0.08183523,-0.6539367,0.207484
51,Left180_1,1.019614,-0.03221064,-0.02538021,-0.3138564,0.6100628,-0.08651134,0.007910614,-0.5270328,0.4392255,-0.246188,0.05274978,-0.6148593,0.3043529,-0.3571216,0.0915255,-0.6531881,0.2098282
52,Left180_1,1.036552,-0.03203886,-0.0265687,-0.3125593,0.6107284,-0.09554511,0.01050379,-0.5225617,0.4445355,-0.2626946,0.06487661,-0.6120312,0.3100005,-0.3598451,0.1002446,-0.6493173,0.2215172
53,Left180_1,1.053573,-0.03118422,-0.02641913,-0.3097055,0.6121805,-0.1105596,0.01652367,-0.5248833,0.4417918,-0.2704579,0.07523948,-0.6053702,0.3228149,-0.3600259,0.1096223,-0.6433735,0.2382295
54,Left180_1,1.070554,-0.0311469,-0.02558922,-0.3106385,0.6117077,-0.1167538,0.02034298,-0.5181065,0.4497201,-0.2771562,0.08630121,-0.5984164,0.3355302,-0.3593875,0.1192078,-0.6370096,0.2547576
55,Left180_1,1.087549,-0.03340343,-0.02087509,-0.337042,0.5975661,-0.1220984,0.0253823,-0.5110328,0.4577422,-0.2798608,0.0979924,-0.5909349,0.3485379,-0.3570396,0.1295172,-0.630169,0.2712371
56,Left180_1,1.121499,-0.03132646,-0.01555188,-0.3173298,0.6082635,-0.122617,0.0362405,-0.4877538,0.4824716,-0.2748535,0.120769,-0.57082,0.3805878,-0.350376,0.152856,-0.6145527,0.3049715
57,Left180_1,1.13851,-0.03093855,-0.009493198,-0.3144045,0.6097807,-0.1258072,0.04515958,-0.4787666,0.4913913,-0.2790289,0.1400832,-0.5642231,0.3903013,-0.3459653,0.1665424,-0.605444,0.3226765
58,Left180_1,1.155499,-0.02966554,-0.000866651,-0.3089116,0.6125817,-0.1325701,0.06292878,-0.4680733,0.5015876,-0.2723933,0.1581215,-0.5526456,0.4065287,-0.3403018,0.1830371,-0.5950099,0.3415347
59,Left180_1,1.172606,-0.02786077,0.00771881,-0.3018369,0.6160982,-0.1482256,0.08776242,-0.462963,0.506308,-0.2652225,0.1758197,-0.5406905,0.4222991,-0.3336069,0.1992255,-0.5836586,0.3605901
60,Left180_1,1.189551,-0.02547958,0.01580457,-0.2936018,0.620065,-0.1491217,0.1021468,-0.4501408,0.5177413,-0.2589787,0.1929591,-0.5293937,0.4363772,-0.326005,0.2147158,-0.5714077,0.3797051
61,Left180_1,1.223646,-0.02400458,0.03541544,-0.2733926,0.6292369,-0.1416931,0.1299123,-0.4181392,0.5439138,-0.2385766,0.2235579,-0.498244,0.4716307,-0.3035813,0.2464719,-0.5414758,0.4212915
62,Left180_1,1.240594,-0.02409087,0.04305137,-0.2630261,0.6336404,-0.1441228,0.1473573,-0.4093213,0.5505806,-0.2317944,0.2377914,-0.4858764,0.4843625,-0.3007898,0.2598782,-0.5303485,0.4352164
63,Left180_1,1.257543,-0.02604879,0.04858563,-0.2557904,0.6365955,-0.1470297,0.1597483,-0.4007241,0.5568685,-0.2354368,0.2525937,-0.4848386,0.4854009,-0.2973051,0.2694222,-0.5201096,0.447402
64,Left180_1,1.27451,-0.03161302,0.05522631,-0.2501971,0.6388145,-0.1499288,0.1714527,-0.392141,0.5629459,-0.2340367,0.2622315,-0.4770978,0.4930115,-0.2940359,0.2779661,-0.5095217,0.4594237
65,Left180_1,1.291518,-0.03867967,0.0618528,-0.2452498,0.6407301,-0.1592556,0.1897465,-0.3882919,0.5656076,-0.2320161,0.2698382,-0.4665456,0.5030088,-0.2911617,0.285402,-0.4986388,0.4712133
66,Left180_1,1.308496,-0.04902003,0.07382635,-0.2476883,0.6397914,-0.1609667,0.2022123,-0.3754793,0.5741933,-0.2271042,0.2777261,-0.4526204,0.5155748,-0.2853407,0.2937142,-0.4853624,0.4848775
67,Left180_1,1.34251,-0.04833432,0.07755934,-0.2096206,0.6532546,-0.1512443,0.2171622,-0.3375182,0.5972973,-0.2080063,0.2899854,-0.4156314,0.5458325,-0.2649143,0.309289,-0.4507645,0.5171982
68,Left180_1,1.359513,-0.05107278,0.08214045,-0.1991781,0.656514,-0.1482237,0.226095,-0.3241591,0.6046517,-0.2049743,0.2968827,-0.4038016,0.5546412,-0.2601257,0.3162317,-0.4416009,0.5250443
69,Left180_1,1.376462,-0.05354309,0.08595727,-0.190282,0.6591475,-0.1451708,0.2340295,-0.3125055,0.610756,-0.1993269,0.3008308,-0.3902514,0.5642573,-0.2529152,0.3215737,-0.4303147,0.5343334
70,Left180_1,1.393469,-0.05586147,0.08950321,-0.1827553,0.6612741,-0.1443863,0.2465088,-0.3063464,0.6138687,-0.1945595,0.3040758,-0.377499,0.5728676,-0.2461912,0.3261929,-0.4201145,0.5423896
71,Left180_1,1.410459,-0.05973375,0.1003863,-0.1756157,0.6632058,-0.1380056,0.2503386,-0.2950613,0.6193719,-0.1903118,0.3064914,-0.3654936,0.5806006,-0.2403109,0.3312186,-0.4117852,0.5487399
72,Left180_1,1.427407,-0.06916841,0.121864,-0.1772828,0.6627619,-0.1323687,0.2539553,-0.2849945,0.6240679,-0.1864909,0.3083865,-0.3539437,0.5877128,-0.2347908,0.3360489,-0.4042746,0.5542966
73,Left180_1,1.461432,-0.06501165,0.1204224,-0.1543087,0.6684844,-0.1193606,0.2521859,-0.262487,0.6338636,-0.1723147,0.3049847,-0.3287432,0.6021715,-0.2202978,0.3421086,-0.3863173,0.5669582
74,Left180_1,1.478454,-0.06585792,0.1290222,-0.1543704,0.6684703,-0.1150784,0.2544546,-0.2572654,0.6360011,-0.172428,0.3063409,-0.3229686,0.6052884,-0.2140688,0.3455509,-0.3794214,0.5715961
75,Left180_1,1.49544,-0.06667732,0.1383703,-0.1559871,0.6680951,-0.1110449,0.2562522,-0.2525899,0.6378724,-0.1693616,0.3060482,-0.3157995,0.6090595,-0.208474,0.3492428,-0.3736391,0.5753927
76,Left180_1,1.512477,-0.06384666,0.1414307,-0.1516548,0.6690914,-0.1090149,0.2614137,-0.2569888,0.6361127,-0.16312,0.3031017,-0.3068864,0.6135986,-0.1999393,0.3511391,-0.3675621,0.5792934
77,Left180_1,1.529455,-0.0599543,0.1433971,-0.146742,0.6701862,-0.1028996,0.2594601,-0.2520003,0.6381055,-0.1558857,0.2990335,-0.2972438,0.6183274,-0.1903339,0.3520274,-0.3611315,0.5833238
78,Left180_1,1.563421,-0.0538743,0.1486062,-0.1355117,0.6725466,-0.08941782,0.2508092,-0.2320405,0.6456313,-0.1409962,0.2903759,-0.2775724,0.6274044,-0.172456,0.3494397,-0.3432496,0.5940221
79,Left180_1,1.58041,-0.05155081,0.1531815,-0.1316396,0.6733153,-0.08438701,0.2480407,-0.2251753,0.6480576,-0.1354199,0.2868222,-0.271183,0.6301924,-0.1685137,0.3595668,-0.3413105,0.5951384
80,Left180_1,1.597447,-0.04880515,0.1572907,-0.1279113,0.6740335,-0.07918539,0.2444812,-0.2184113,0.6503683,-0.1320875,0.284701,-0.2701498,0.6306359,-0.1622257,0.3626013,-0.3355614,0.5983985
81,Left180_1,1.614395,-0.04481133,0.1592084,-0.1242618,0.6747161,-0.07726344,0.2439337,-0.2153639,0.6513839,-0.1262013,0.2816693,-0.2652333,0.6327197,-0.1565844,0.3658475,-0.3311853,0.6008317
82,Left180_1,1.631355,-0.04069275,0.1608725,-0.1205338,0.675392,-0.07298128,0.2405767,-0.2084694,0.6536231,-0.1204027,0.278838,-0.2604516,0.6347028,-0.1508477,0.3689408,-0.3268013,0.6032278
83,Left180_1,1.648356,-0.03788149,0.1602269,-0.1222157,0.6750898,-0.0699296,0.2295394,-0.2020022,0.6556508,-0.1154734,0.2693652,-0.2576016,0.6358649,-0.1447728,0.3616982,-0.3217284,0.6059484
84,Left180_1,1.682462,-0.02719567,0.1387567,-0.1089095,0.6773637,-0.06159312,0.2073561,-0.1874043,0.6599715,-0.1046506,0.2497083,-0.2473105,0.6399378,-0.1317613,0.3442894,-0.3092369,0.6124176
85,Left180_1,1.699436,-0.02221464,0.1339831,-0.1058781,0.6778441,-0.05962703,0.2010076,-0.1820832,0.6614591,-0.1014459,0.2509328,-0.2488991,0.6393214,-0.1323887,0.3492952,-0.3096125,0.6122275
86,Left180_1,1.716418,-0.01877305,0.1269893,-0.1005448,0.6786556,-0.05730542,0.191076,-0.1725173,0.6640184,-0.09568936,0.2443249,-0.2410775,0.6423116,-0.1303152,0.3469629,-0.3038806,0.6150929
87,Left180_1,1.733356,-0.01559775,0.1194885,-0.09475376,0.6794884,-0.05859606,0.1837715,-0.1659559,0.6656888,-0.09013784,0.2375893,-0.2330289,0.6452755,0,0,0,0
88,Left180_1,1.750359,-0.01321394,0.1144889,-0.09257364,0.6797888,-0.05791692,0.1767956,-0.1608422,0.6669425,-0.08636981,0.234604,-0.2304162,0.6462128,0,0,0,0
89,Left180_1,1.767362,-0.01446123,0.116622,-0.1017178,0.6784808,-0.05736518,0.1697681,-0.1554876,0.6682112,-0.08273835,0.2316891,-0.2280071,0.6470668,0,0,0,0
90,Left180_1,1.801263,-0.01234636,0.1026484,-0.09578305,0.679344,-0.05460839,0.1535158,-0.1443972,0.6706951,-0.07657668,0.2202992,-0.2191555,0.650118,0,0,0,0
91,Left180_1,1.81834,-0.01180585,0.0952115,-0.09251846,0.6797963,-0.05401496,0.1446508,-0.1408477,0.6714497,-0.075189,0.224993,-0.2207753,0.6495697,0,0,0,0
92,Left180_1,1.835308,-0.01151397,0.08781955,-0.08932823,0.6802228,-0.05363987,0.1361286,-0.1379999,0.6720408,-0.07315325,0.2228572,-0.2181108,0.6504692,0,0,0,0
93,Left180_1,1.852336,-0.01205522,0.08249271,-0.08651437,0.6805865,-0.05603433,0.1323135,-0.1411195,0.6713927,-0.07249731,0.2234661,-0.2168833,0.6508796,0,0,0,0
94,Left180_1,1.869349,-0.01519839,0.08063634,-0.08717483,0.680502,-0.05604071,0.1270129,-0.1396885,0.6716918,-0.07188626,0.2241848,-0.2157376,0.6512602,0,0,0,0
95,Left180_1,1.903352,-0.01631988,0.07010161,-0.07906559,0.681492,-0.05551079,0.1167577,-0.1337137,0.6729066,-0.06929141,0.2172905,-0.2086384,0.6535692,0,0,0,0
96,Left180_1,1.920359,-0.02016908,0.06946626,-0.07745774,0.6816767,-0.0575755,0.1170171,-0.1357546,0.6724978,-0.07061233,0.2195258,-0.208097,0.6537419,0,0,0,0
97,Left180_1,1.937338,-0.02364711,0.06830138,-0.0750819,0.6819425,-0.0590648,0.1172222,-0.137485,0.6721465,-0.07562573,0.2297355,-0.2114201,0.6526747,0,0,0,0
98,Left180_1,1.95434,-0.02584433,0.06555872,-0.07045382,0.6824359,-0.05885292,0.1216994,-0.1400065,0.6716255,-0.07809986,0.2339453,-0.2104556,0.6529863,0,0,0,0
99,Left180_1,1.971344,-0.02804621,0.06296089,-0.06627768,0.6828542,-0.05760699,0.1215692,-0.1373933,0.6721649,0,0,0,0,0,0,0,0
100,Left180_1,1.988315,-0.03306887,0.06445654,-0.0662031,0.6828616,-0.05634885,0.1223295,-0.1355497,0.6725394,0,0,0,0,0,0,0,0
101,Left180_1,2.022311,-0.03188024,0.05562863,-0.05180857,0.6841042,-0.05069464,0.1172516,-0.1238064,0.6747998,0,0,0,0,0,0,0,0
102,Left180_1,2.03926,-0.03217399,0.05303136,-0.04665757,0.6844748,-0.0473212,0.1182124,-0.1216247,0.6751964,0,0,0,0,0,0,0,0
103,Left180_1,2.05624,-0.0327805,0.05163205,-0.04515221,0.6845758,-0.04478566,0.1209033,-0.1221106,0.6751087,0,0,0,0,0,0,0,0
104,Left180_1,2.073327,-0.03321667,0.05043571,-0.04485767,0.6845952,-0.04286198,0.1329595,-0.1270705,0.6741926,0,0,0,0,0,0,0,0
105,Left180_1,2.090275,-0.03358155,0.04983403,-0.04529925,0.684566,-0.04111582,0.1384109,-0.1275999,0.6740925,0,0,0,0,0,0,0,0
106,Left180_1,2.124226,-0.03319828,0.04810348,-0.04797859,0.6843835,-0.03704117,0.1406511,-0.1258358,0.6744241,0,0,0,0,0,0,0,0
107,Left180_1,2.141175,-0.03227493,0.04754259,-0.04997184,0.6842409,-0.03517944,0.1459551,-0.1280499,0.6740072,0,0,0,0,0,0,0,0
108,Left180_1,2.158257,-0.03094316,0.04687778,-0.05235452,0.6840625,-0.03261304,0.148337,-0.129053,0.6738159,0,0,0,0,0,0,0,0
109,Left180_1,2.175206,-0.02913996,0.04756267,-0.05614902,0.6837616,-0.03009512,0.1508926,-0.1301889,0.6735975,0,0,0,0,0,0,0,0
110,Left180_1,2.192261,-0.02710474,0.04861512,-0.06035539,0.6834033,-0.03079629,0.1622807,-0.1360221,0.6724436,0,0,0,0,0,0,0,0
111,Left180_1,2.209222,-0.02432702,0.05557665,-0.06740719,0.6827437,-0.03146454,0.1692369,-0.1394451,0.6717423,0,0,0,0,0,0,0,0
112,Left180_1,2.243218,-0.01827986,0.05419622,-0.06566706,0.6829132,0,0,0,0,0,0,0,0,0,0,0,0
113,Left180_1,2.260168,-0.01483976,0.05635011,-0.06684476,0.6827991,0,0,0,0,0,0,0,0,0,0,0,0
114,Left180_1,2.27721,-0.01144242,0.05943333,-0.06961221,0.6825224,0,0,0,0,0,0,0,0,0,0,0,0
115,Left180_1,2.294174,-0.008086891,0.06268683,-0.07274574,0.6821955,0,0,0,0,0,0,0,0,0,0,0,0
116,Left180_1,2.311184,-0.004873513,0.06674216,-0.07356784,0.6821075,0,0,0,0,0,0,0,0,0,0,0,0
117,Left180_1,2.32818,-0.001644668,0.0799017,-0.07827245,0.6815836,0,0,0,0,0,0,0,0,0,0,0,0
118,Left180_1,2.36215,0.002971319,0.08347425,-0.07282108,0.6821874,0,0,0,0,0,0,0,0,0,0,0,0
119,Left180_1,2.379097,0.004522685,0.08937927,-0.07315202,0.6821522,0,0,0,0,0,0,0,0,0,0,0,0
120,Left180_1,2.396131,0.006040067,0.09491527,-0.07333156,0.6821327,0,0,0,0,0,0,0,0,0,0,0,0
121,Left180_1,2.413172,0.007513385,0.09657846,-0.07066765,0.6824137,0,0,0,0,0,0,0,0,0,0,0,0
122,Left180_1,2.43012,0.008806379,0.09799499,-0.06768332,0.6827165,0,0,0,0,0,0,0,0,0,0,0,0
123,Left180_1,2.464221,0.006850499,0.1028867,-0.06640653,0.6828417,0,0,0,0,0,0,0,0,0,0,0,0
124,Left180_1,2.481209,0.003648543,0.1082598,-0.06836251,0.6826487,0,0,0,0,0,0,0,0,0,0,0,0
125,Left180_1,2.498188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126,Left180_1,2.515166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
127,Left180_1,2.532166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
128,Left180_1,2.549115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
129,Left180_1,2.583112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130,Left180_1,2.600063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131,Left180_1,2.617094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
132,Left180_1,2.634103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
133,Left180_1,2.65107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
134,Left180_1,2.668065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135,Left180_1,2.702043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
