AnimationName,Timestamp,Root_P_x_0,Root_P_z_0,Root_F_x_0,Root_F_z_0,Root_P_x_1,Root_P_z_1,Root_F_x_1,Root_F_z_1,Root_P_x_2,Root_P_z_2,Root_F_x_2,Root_F_z_2,Root_P_x_3,Root_P_z_3,Root_F_x_3,Root_F_z_3,LeftFoot_P_x,LeftFoot_P_y,LeftFoot_P_z,RightFoot_P_x,RightFoot_P_y,RightFoot_P_z,Neck_P_x,Neck_P_y,Neck_P_z,LeftFoot_V_x,LeftFoot_V_y,LeftFoot_V_z,RightFoot_V_x,RightFoot_V_y,RightFoot_V_z,Neck_V_x,Neck_V_y,Neck_V_z
90Right,0.4308191,0.04148235,0.1422815,0.2665997,0.9638073,0.08005722,0.2529664,0.5039073,0.8637578,0.1188426,0.3994734,0.6557984,0.7549361,0.2166455,0.6273135,0.7566594,0.6538094,-0.005505213,0.1167406,-0.1136938,0.07849479,0.1079282,0.05324898,-0.0389309,1.453475,-0.03041146,-0.01597793,0.02596378,-0.4671246,-0.1101002,0.09371936,-0.07674694,0.1146745,0.007092953,-0.0140273
90Right,0.4477688,0.03903518,0.1409328,0.2647644,0.9643131,0.07657307,0.2537031,0.5000833,0.8659773,0.1159793,0.4191471,0.6582121,0.7528325,0.2070782,0.6338739,0.7495096,0.6619934,-0.006279222,0.1182742,-0.1240686,0.07871222,0.1100122,0.05000698,-0.03614998,1.45358,-0.03066522,-0.03870046,0.0766784,-0.5187407,0.01087151,0.1042038,-0.1620999,0.1390463,0.005280972,-0.01268834
90Right,0.4647958,0.03801687,0.1395367,0.2636574,0.9646165,0.07291257,0.2533546,0.4956681,0.868512,0.1101239,0.4250531,0.6515303,0.7586226,0.1999428,0.6432912,0.7417952,0.6706267,-0.007091955,0.1201454,-0.1347012,0.07982124,0.1122539,0.0464946,-0.0332749,1.453644,-0.0308728,-0.04063663,0.09356439,-0.5316299,0.05545095,0.1120836,-0.1756188,0.1437539,0.003170967,-0.01037857
90Right,0.4817609,0.03892771,0.1392083,0.264484,0.9643901,0.06755481,0.2522896,0.4946243,0.8691069,0.1093567,0.4352163,0.6451532,0.7640531,0.1944602,0.6579465,0.7348844,0.6781924,-0.007672394,0.1234336,-0.1431895,0.08043513,0.113943,0.04165525,-0.03138797,1.453548,-0.03161259,-0.02902194,0.1644105,-0.4244156,0.03069416,0.0844568,-0.2419675,0.09434652,-0.004774332,-0.03698971
90Right,0.4987764,0.03844304,0.1378165,0.265175,0.9642004,0.06274445,0.2507752,0.4903896,0.8715034,0.1085441,0.4463336,0.6386768,0.7694751,0.1840159,0.660131,0.7236856,0.6901298,-0.008251254,0.1270379,-0.1514133,0.08117107,0.1156722,0.03665756,-0.02959439,1.453413,-0.03239827,-0.02894299,0.1802117,-0.4111879,0.0367973,0.08645952,-0.2498847,0.0896791,-0.006735325,-0.03928412
90Right,0.51917,0.03763755,0.1353578,0.262149,0.9650275,0.05923089,0.2508197,0.4826462,0.8758155,0.104304,0.4551158,0.6291552,0.7772798,0.1721468,0.6620436,0.7089592,0.7052497,-0.01004572,0.1343126,-0.1593292,0.07970682,0.1166279,0.03120133,-0.02754362,1.453101,-0.03392262,-0.08972348,0.3637344,-0.3957935,-0.07321276,0.04778504,-0.2728114,0.1025382,-0.01562834,-0.07621739
90Right,0.5530764,0.03282256,0.1303563,0.2600173,0.965604,0.04910297,0.2428214,0.4605037,0.8876579,0.0902558,0.4594955,0.608599,0.7934781,0.1475876,0.656963,0.6813599,0.7319486,-0.01621385,0.1532496,-0.1719562,0.07658365,0.1171147,0.01791759,-0.02300539,1.452367,-0.03620927,-0.3084065,0.9468496,-0.6313525,-0.1561582,0.02433658,-0.6641871,0.2269117,-0.03666878,-0.1143327
90Right,0.5700233,0.02933677,0.1269012,0.257554,0.9662639,0.04481947,0.2539338,0.4663139,0.8846193,0.08386468,0.4676237,0.6011653,0.7991248,0.1364093,0.6579341,0.6664409,0.745558,-0.02071026,0.1653219,-0.1769159,0.07490568,0.1168898,0.009824025,-0.0203389,1.451907,-0.03714504,-0.2248204,0.6036192,-0.2479859,-0.08389875,-0.01124442,-0.4046783,0.1333247,-0.02304316,-0.04678834
90Right,0.5869694,0.02718038,0.1266336,0.2598625,0.9656456,0.03794295,0.2535997,0.4614285,0.8871774,0.08694372,0.4994657,0.6030091,0.7977343,0.128136,0.6608922,0.6513155,0.7588072,-0.02518695,0.1766046,-0.1775516,0.07361051,0.1160743,0.002210885,-0.01781549,1.451489,-0.03778163,-0.2238344,0.5641311,-0.03178492,-0.06475821,-0.04077554,-0.3806571,0.1261704,-0.02089739,-0.03182925
90Right,0.6039183,0.02507352,0.1253693,0.2584189,0.966033,0.03213301,0.2551877,0.4568132,0.8895627,0.08302929,0.5111623,0.596898,0.8023172,0.1205663,0.663781,0.6358044,0.7718502,-0.02923698,0.1884415,-0.1772623,0.07242173,0.1150981,-0.005628257,-0.01541629,1.451012,-0.03840235,-0.2025015,0.5918443,0.01446828,-0.05943924,-0.04880726,-0.3919571,0.1199601,-0.02381802,-0.03103632
90Right,0.6208676,0.02278738,0.1237197,0.258035,0.9661356,0.02744532,0.2584077,0.4534885,0.8912622,0.07628503,0.5181882,0.5917761,0.8061024,0.1176071,0.6733538,0.6186571,0.7856612,-0.03250926,0.2007359,-0.1748651,0.07189003,0.1135518,-0.01401985,-0.01344283,1.45048,-0.03902866,-0.1636142,0.6147236,0.119856,-0.02658516,-0.07731616,-0.4195797,0.09867284,-0.02659559,-0.03131554
90Right,0.6547661,0.01321135,0.1085496,0.234733,0.97206,0.01357473,0.2531117,0.4312387,0.9022379,0.05307256,0.5128378,0.5673832,0.823454,0.09154776,0.6666565,0.58373,0.811948,-0.03863987,0.2266336,-0.1636744,0.07065384,0.1125723,-0.03479608,-0.008691889,1.449045,-0.03815949,-0.3065303,1.294884,0.5595364,-0.06180927,-0.04897714,-1.038811,0.2375471,-0.07176399,0.04345886
90Right,0.6749425,0.007986945,0.102635,0.226752,0.9739526,0.006059275,0.2550825,0.4206903,0.9072044,0.03951416,0.5141758,0.5549685,0.8318714,0.07822378,0.6678606,0.5606681,0.8280408,-0.04230852,0.2385439,-0.1544166,0.07017583,0.1132028,-0.04577871,-0.006191028,1.448115,-0.03768096,-0.1834325,0.595516,0.4628904,-0.02390072,0.03152788,-0.5491318,0.1250431,-0.04651546,0.02392642
90Right,0.6918941,0.00506923,0.1085497,0.2390768,0.9710007,0.0008408047,0.2600447,0.4155418,0.9095742,0.03153289,0.5198414,0.5474897,0.8368124,0.07094464,0.6793579,0.5377823,0.8430838,-0.04604123,0.2433586,-0.1462894,0.07001023,0.1142829,-0.05170364,-0.00474486,1.44748,-0.03824675,-0.1866356,0.2407342,0.4063599,-0.00827983,0.05400479,-0.2962464,0.0723084,-0.03172755,-0.02828967
90Right,0.7088434,0.002976979,0.1092199,0.2353488,0.9719111,-0.005911972,0.2790596,0.418982,0.9079946,0.02337789,0.5286229,0.5387322,0.8424773,0.05860805,0.679621,0.5175836,0.8556328,-0.0517555,0.2451279,-0.1348624,0.07011756,0.115454,-0.05910495,-0.002693919,1.446933,-0.03881596,-0.2857132,0.08846521,0.5713485,0.005366653,0.0585556,-0.3700651,0.102547,-0.02735257,-0.02846066
90Right,0.7257922,-0.0003192099,0.108501,0.2303499,0.9731079,-0.01308768,0.2837209,0.4108928,0.9116837,0.01279604,0.5414018,0.5293443,0.8484071,0.04458164,0.6788388,0.4959586,0.8683462,-0.05928132,0.244287,-0.1204157,0.07048049,0.1167293,-0.06788578,-0.0001005766,1.446443,-0.039361,-0.3762914,-0.04204512,0.7223375,0.01814626,0.06376207,-0.4390417,0.1296671,-0.02452731,-0.02725162
90Right,0.7427407,-0.00519134,0.1076909,0.2284716,0.9735507,-0.01686181,0.2949699,0.4025756,0.9153868,0.00185668,0.5422181,0.5147728,0.8573267,0.0326719,0.6821034,0.474405,0.8803068,-0.06642576,0.2411734,-0.1059226,0.07119959,0.1170368,-0.07464593,0.002174253,1.446122,-0.04042637,-0.3572216,-0.1556814,0.7246539,0.03595501,0.01537502,-0.3380075,0.1137415,-0.01604557,-0.05326848
90Right,0.7596903,-0.008577515,0.1077057,0.2231232,0.9747903,-0.02011327,0.3082241,0.3942559,0.9190007,-0.008265015,0.5435277,0.4992845,0.8664382,0.02186446,0.6879957,0.4528891,0.8915669,-0.07340072,0.2363141,-0.09123375,0.07210661,0.1165435,-0.07981054,0.004229235,1.445942,-0.04191264,-0.3487483,-0.2429664,0.7344432,0.04535131,-0.02466142,-0.2582308,0.1027491,-0.00897646,-0.07431377
90Right,0.7937192,-0.01246821,0.1026008,0.2009043,0.9796109,-0.03007217,0.311068,0.3700596,0.9290081,-0.02610926,0.5383344,0.4676046,0.8839378,-0.0006496019,0.6887707,0.4156692,0.909516,-0.08655757,0.2197387,-0.05940155,0.07575778,0.1140246,-0.0908846,0.006448544,1.446205,-0.04387948,-0.6578423,-0.8287668,1.59161,0.1825582,-0.1259476,-0.553703,0.1109654,0.01314878,-0.09834189
90Right,0.8106717,-0.01462843,0.1058078,0.1974092,0.9803213,-0.03492403,0.3254195,0.3657566,0.9307107,-0.03330935,0.540695,0.4519364,0.8920503,-0.01098578,0.6936124,0.3969365,0.9178462,-0.09365223,0.2091448,-0.04197935,0.07756856,0.1119608,-0.09633793,0.007024249,1.446575,-0.04440117,-0.3547333,-0.5296975,0.8711104,0.09053908,-0.1031876,-0.2726663,0.02878525,0.0185132,-0.02608467
90Right,0.832146,-0.01913982,0.1178354,0.2026076,0.97926,-0.04090726,0.33397,0.3558834,0.9345304,-0.04134645,0.5421391,0.4317544,0.9019913,-0.02147509,0.7147936,0.3727064,0.9279494,-0.1028387,0.195307,-0.01816808,0.07955535,0.1090008,-0.1031562,0.00753311,1.447114,-0.0448374,-0.4593227,-0.6918877,1.190563,0.09933934,-0.1480013,-0.3409121,0.02544303,0.02695322,-0.02181157
90Right,0.8496293,-0.02375018,0.1174367,0.199111,0.9799771,-0.04439282,0.3672867,0.3598562,0.9330079,-0.04688655,0.5448006,0.4147474,0.9099367,-0.0291025,0.7272997,0.3555161,0.9346703,-0.115493,0.1785274,0.01075371,0.08228547,0.1051285,-0.1096366,0.008052257,1.447892,-0.04476135,-0.6327134,-0.8389831,1.44609,0.1365062,-0.1936167,-0.3240217,0.02595736,0.03889799,0.00380259
90Right,0.8666193,-0.02771105,0.1193774,0.1960047,0.980603,-0.04878977,0.3795103,0.3546145,0.9350126,-0.05021616,0.5554879,0.3949785,0.9186904,-0.03687644,0.7397871,0.3387921,0.9408613,-0.1271342,0.1642335,0.04179366,0.0845585,0.1015847,-0.1160583,0.008536718,1.448518,-0.04471939,-0.5820625,-0.7146925,1.551998,0.1136515,-0.1771897,-0.3210869,0.02422305,0.03127456,0.002097897
90Right,0.8836026,-0.030688,0.1244265,0.193217,0.9811562,-0.05455133,0.3876788,0.3494882,0.9369409,-0.05485841,0.5609015,0.3768295,0.9262828,-0.04559055,0.7496051,0.3225488,0.9465529,-0.1386081,0.1534309,0.06645525,0.08671268,0.09780979,-0.1217499,0.008958727,1.44919,-0.04406714,-0.5736955,-0.5401313,1.23308,0.1077089,-0.1887441,-0.2845772,0.02110046,0.03358126,0.03261287
90Right,0.9005957,-0.03396324,0.1336374,0.1925082,0.9812954,-0.06051196,0.3950046,0.344003,0.9389686,-0.05975869,0.5664293,0.3583042,0.933605,-0.05454656,0.7592941,0.306188,0.9519711,-0.1489649,0.1444766,0.09246752,0.08860141,0.09442919,-0.1275293,0.009326697,1.449734,-0.04341336,-0.5178392,-0.4477143,1.300613,0.09443648,-0.1690298,-0.2889719,0.01839851,0.02722144,0.03268905
90Right,0.9346544,-0.0368321,0.1331277,0.1750465,0.9845603,-0.07065701,0.3921731,0.3241113,0.9460191,-0.0725019,0.5700044,0.3206252,0.9472063,-0.07299431,0.7598135,0.2758094,0.9612125,-0.1710163,0.131034,0.1427271,0.09523301,0.0872941,-0.1421902,0.009214362,1.4507,-0.04023908,-1.102571,-0.6721318,2.512979,0.3315799,-0.3567547,-0.7330418,-0.00561676,0.04831553,0.1587136
90Right,0.9516854,-0.04107909,0.1353715,0.1719443,0.9851068,-0.07710255,0.3944828,0.3180065,0.9480886,-0.08017475,0.5674719,0.3016731,0.9534116,-0.082803,0.7682616,0.259257,0.9658085,-0.1796131,0.1258725,0.169202,0.1006161,0.08943391,-0.1511419,0.008822797,1.450955,-0.04017179,-0.4298367,-0.2580732,1.323745,0.2691534,0.1069903,-0.4475869,-0.01957826,0.01275539,0.003364682
90Right,0.9686797,-0.04914188,0.1526383,0.1795527,0.9837484,-0.08295178,0.4016294,0.3118497,0.9501316,-0.08768386,0.5653431,0.2825978,0.9592385,-0.09280512,0.7905783,0.2420395,0.9702665,-0.1874934,0.1221899,0.1943017,0.1058076,0.09189945,-0.1593427,0.008363801,1.451238,-0.04007994,-0.3940158,-0.1841277,1.254985,0.2595741,0.1232773,-0.4100382,-0.02294979,0.0141263,0.004592352
90Right,0.9899026,-0.0517494,0.1592454,0.1728273,0.9849523,-0.09035346,0.4153297,0.3032427,0.9529135,-0.09437514,0.5678703,0.2607321,0.9654113,-0.1034144,0.7956994,0.2244659,0.9744821,-0.1927976,0.1130943,0.2107937,0.1111668,0.09797603,-0.1628243,0.007241514,1.452563,-0.03956531,-0.2652124,-0.4547834,0.8246005,0.2679639,0.3038287,-0.1740843,-0.05611438,0.06626844,0.0257317
90Right,1.006855,-0.05345064,0.1717848,0.1693573,0.9855548,-0.09505532,0.4162253,0.292262,0.9563383,-0.0998016,0.5724533,0.2425426,0.9701408,-0.1120146,0.8006085,0.2109057,0.9775066,-0.1953834,0.1109669,0.2193649,0.1157642,0.1038486,-0.1664486,0.006374042,1.45292,-0.04007301,-0.1292899,-0.1063675,0.4285619,0.2298698,0.2936304,-0.181213,-0.04337358,0.01782775,-0.02538525
90Right,1.023804,-0.05552297,0.1832093,0.1660599,0.9861157,-0.09958218,0.4146547,0.2805313,0.9598449,-0.1061864,0.5765929,0.2244684,0.9744815,-0.1206661,0.8027056,0.1981107,0.9801797,-0.1959731,0.1115105,0.2220149,0.1207467,0.1118547,-0.1713125,0.005587169,1.452527,-0.04202272,-0.02948195,0.02717674,0.1325011,0.2491254,0.4003048,-0.2431922,-0.03934365,-0.01962185,-0.09748526
90Right,1.040752,-0.05856162,0.1901125,0.1628225,0.9866555,-0.1032931,0.4129686,0.2677495,0.9634887,-0.1124671,0.5769563,0.207934,0.978143,-0.1289411,0.8037266,0.1859245,0.9825642,-0.1944242,0.1106783,0.2215861,0.1266285,0.1204712,-0.1767669,0.004643228,1.452193,-0.04398417,0.07744208,-0.04161,-0.02144054,0.2940867,0.4308254,-0.272724,-0.04719706,-0.01674294,-0.09807255
90Right,1.074652,-0.06099146,0.1898694,0.1492563,0.9887986,-0.1073689,0.4000961,0.2418824,0.9703056,-0.1232351,0.5841041,0.1769669,0.9842168,-0.1438508,0.8041611,0.163431,0.9865549,-0.188281,0.1060721,0.2122092,0.1399536,0.1356433,-0.1879611,0.002640858,1.451856,-0.04730098,0.3071606,-0.2303094,-0.4688472,0.6662555,0.7586032,-0.5597085,-0.1001185,-0.01682639,-0.1658402
90Right,1.091607,-0.06272718,0.1997534,0.146604,0.9891954,-0.1079192,0.4029583,0.2276971,0.9737322,-0.1266756,0.596586,0.1622945,0.9867425,-0.1490487,0.7956243,0.1508841,0.9885516,-0.1888294,0.1043603,0.20675,0.1456728,0.1394113,-0.1910764,0.002001907,1.451853,-0.04799666,-0.02742037,-0.08558631,-0.2729587,0.2859585,0.1884013,-0.1557626,-0.03194753,-0.0001370907,-0.03478415
90Right,1.108596,-0.06801703,0.2308927,0.1544685,0.9879978,-0.1079838,0.4038668,0.2129966,0.9770529,-0.1305908,0.6065791,0.1478073,0.9890162,-0.1563998,0.8077589,0.1437111,0.9896197,-0.1878442,0.1048959,0.1993551,0.1508234,0.1433707,-0.1952495,0.00157333,1.451415,-0.04908819,0.04926026,0.02678037,-0.3697447,0.2575345,0.1979679,-0.208658,-0.02142889,-0.02190471,-0.05457662
90Right,1.125561,-0.06978981,0.238887,0.15222,0.9883467,-0.1078155,0.410713,0.1950974,0.9807839,-0.1354169,0.6105183,0.1335806,0.991038,-0.1624992,0.8044254,0.1343395,0.9909354,-0.1867096,0.1093316,0.189731,0.1555537,0.1474319,-0.2003451,0.001386354,1.450454,-0.05053231,0.05673245,0.2217829,-0.4812084,0.236512,0.2030581,-0.2547786,-0.009348779,-0.04805923,-0.07220618
90Right,1.14594,-0.07175867,0.2373485,0.1475626,0.9890528,-0.1079863,0.4067407,0.1765199,0.9842972,-0.1406423,0.6099916,0.1171986,0.9931085,-0.1690807,0.7961985,0.1232482,0.9923759,-0.1825883,0.1145011,0.1759489,0.1617579,0.1577539,-0.2051282,0.0002958789,1.449179,-0.05379345,0.2060607,0.2584755,-0.6891027,0.3102094,0.5161017,-0.2391577,-0.05452376,-0.06374121,-0.1630569
90Right,1.16289,-0.07394683,0.2368604,0.1451972,0.9894028,-0.1081838,0.404833,0.1602918,0.9870698,-0.145303,0.6106797,0.1032941,0.994651,-0.1742345,0.7898824,0.115026,0.9933625,-0.176948,0.1187262,0.1634734,0.1678608,0.1698756,-0.2076249,-0.001084984,1.447999,-0.05733269,0.2820149,0.2112538,-0.6237745,0.3051482,0.6060869,-0.1248337,-0.06904315,-0.05902648,-0.1769621
90Right,1.17984,-0.07558227,0.2361437,0.1424624,0.9898003,-0.1104775,0.4105275,0.1388163,0.9903182,-0.1499243,0.61629,0.08933061,0.9960021,-0.1786146,0.7838413,0.1076886,0.9941848,-0.1710214,0.1205713,0.1521187,0.1709316,0.1801226,-0.2077402,-0.002474274,1.447204,-0.06027947,0.2963327,0.09225607,-0.567738,0.1535363,0.5123466,-0.005762279,-0.0694645,-0.03972054,-0.147339
