uniqueID,AnimationName,Timestamp,LeftFoot_P_x,LeftFoot_P_y,LeftFoot_P_z,RightFoot_P_x,RightFoot_P_y,RightFoot_P_z,Neck_P_x,Neck_P_y,Neck_P_z,LeftFoot_V_x,LeftFoot_V_y,LeftFoot_V_z,RightFoot_V_x,RightFoot_V_y,RightFoot_V_z,Neck_V_x,Neck_V_y,Neck_V_z
15,Left180_1,0.2888223,-0.1057922,0.04009332,-0.1652611,0.3613328,0.04546103,0.03551237,-0.06331794,1.436271,0.1021096,-0.3870569,-0.0208592,-0.1787424,0.1594171,0.03088433,0.5749288,-0.04084371,-0.01060963,0.008936599
16,Left180_1,0.3228352,-0.1238152,0.03773894,-0.1743219,0.3577963,0.04652417,0.06692612,-0.06449649,1.435937,0.09889533,-0.9011503,-0.117719,-0.4530385,-0.1768246,0.0531571,1.570688,-0.05892739,-0.01667738,-0.1607127
17,Left180_1,0.3397999,-0.1319372,0.03667741,-0.1788804,0.3543131,0.04686402,0.08254056,-0.06451885,1.435652,0.09728967,-0.4061006,-0.05307682,-0.2279259,-0.1741603,0.01699254,0.7807221,-0.001118332,-0.01423955,-0.08028299
18,Left180_1,0.3568186,-0.1380167,0.03607089,-0.1825402,0.3507093,0.0471854,0.0945278,-0.06366838,1.435248,0.09700606,-0.3039747,-0.03032573,-0.18299,-0.1801923,0.01606904,0.5993616,0.04252382,-0.0202179,-0.01418032
19,Left180_1,0.3737733,-0.1441659,0.03529818,-0.1859177,0.3467593,0.04745038,0.105982,-0.0624453,1.434898,0.09671948,-0.3074594,-0.03863536,-0.1688734,-0.1975,0.01324918,0.5727094,0.06115381,-0.01749992,-0.01432896
20,Left180_1,0.3908003,-0.1504895,0.03431444,-0.1889723,0.3423249,0.04755577,0.1168287,-0.06070243,1.434645,0.09641109,-0.316181,-0.04918724,-0.1527332,-0.2217174,0.005269609,0.5423337,0.08714367,-0.01263022,-0.01541935
21,Left180_1,0.4077863,-0.1586234,0.03304473,-0.1927537,0.3372585,0.04742578,0.1276898,-0.0586766,1.434388,0.09629279,-0.4066952,-0.06348565,-0.1890711,-0.2533242,-0.006499887,0.5430576,0.1012916,-0.01285672,-0.005915016
22,Left180_1,0.4417558,-0.1771988,0.03091208,-0.202953,0.3245943,0.04612906,0.1490288,-0.05378599,1.43375,0.09598702,-0.9287663,-0.1066323,-0.5099609,-0.6332055,-0.06483588,1.066949,0.2445301,-0.03191829,-0.01528859
23,Left180_1,0.4587461,-0.1840595,0.03048834,-0.2089484,0.3165974,0.0455851,0.1588469,-0.05099496,1.433283,0.09511951,-0.3430359,-0.02118675,-0.2997734,-0.3998458,-0.02719779,0.4909046,0.1395516,-0.02334118,-0.04337542
24,Left180_1,0.4757498,-0.1913701,0.03079365,-0.2140089,0.308838,0.04520059,0.1664315,-0.04833995,1.432864,0.09431411,-0.3655322,0.0152654,-0.2530247,-0.3879741,-0.01922548,0.3792293,0.1327507,-0.02096295,-0.04027002
25,Left180_1,0.4927144,-0.1992129,0.03165812,-0.2181857,0.301427,0.0446142,0.1721385,-0.04582173,1.432538,0.0935493,-0.3921382,0.04322324,-0.2088398,-0.3705457,-0.0293199,0.2853535,0.1259109,-0.01626611,-0.03824048
26,Left180_1,0.5097221,-0.2078516,0.03298299,-0.2212511,0.2934064,0.04376424,0.1780095,-0.04330641,1.432372,0.09212157,-0.431937,0.06624386,-0.1532689,-0.4010335,-0.04249755,0.2935484,0.1257662,-0.008296967,-0.07138662
27,Left180_1,0.543718,-0.2246766,0.03663438,-0.2253862,0.2788889,0.04144364,0.1874413,-0.03894464,1.432394,0.08840842,-0.8412495,0.1825692,-0.2067573,-0.7258728,-0.1160301,0.4715897,0.2180882,0.001084805,-0.1856577
28,Left180_1,0.5607474,-0.2314725,0.03876926,-0.2269934,0.2741795,0.04013909,0.1897446,-0.03742386,1.432544,0.08664746,-0.3397934,0.1067441,-0.08035824,-0.2354711,-0.06522741,0.1151651,0.07603914,0.007468462,-0.08804798
29,Left180_1,0.5777014,-0.2381041,0.04115818,-0.2276036,0.2709495,0.03802705,0.1883969,-0.03635213,1.432881,0.08498412,-0.3315821,0.119446,-0.03050715,-0.1615003,-0.1056021,-0.0673838,0.05358662,0.01686811,-0.08316673
30,Left180_1,0.5946916,-0.2446464,0.04369149,-0.2278405,0.2685498,0.03614013,0.1869005,-0.03553857,1.433236,0.08319548,-0.3271118,0.1266657,-0.01184493,-0.1199827,-0.09434614,-0.0748232,0.04067775,0.01777411,-0.0894323
31,Left180_1,0.611678,-0.2518149,0.04670953,-0.2284708,0.2676404,0.03396318,0.1830326,-0.03472663,1.433671,0.08129609,-0.3584273,0.150902,-0.03151968,-0.04547089,-0.1088476,-0.1933932,0.04059691,0.02171397,-0.0949692
32,Left180_1,0.628692,-0.2591199,0.05002186,-0.2293549,0.2676308,0.03192475,0.1782252,-0.03398103,1.434106,0.07934365,-0.3652498,0.1656162,-0.04420429,-0.0004827976,-0.1019211,-0.2403699,0.0372801,0.02177358,-0.09762198
33,Left180_1,0.6626891,-0.2758637,0.058385,-0.2336451,0.269966,0.02815225,0.1610548,-0.03278925,1.435107,0.07328886,-0.8371919,0.418157,-0.2145067,0.116761,-0.1886252,-0.8585207,0.05958918,0.0500381,-0.3027398
34,Left180_1,0.6796383,-0.283664,0.06132213,-0.2347535,0.2701096,0.02859204,0.1529631,-0.03125826,1.435545,0.07060912,-0.3900155,0.1468567,-0.0554204,0.00718087,0.02198927,-0.4045837,0.07654931,0.02192855,-0.1339871
35,Left180_1,0.6965868,-0.2910656,0.06386521,-0.2354934,0.2699983,0.0300028,0.1451824,-0.02950486,1.435936,0.06807242,-0.3700763,0.1271542,-0.0369966,-0.005567074,0.07053847,-0.3890358,0.08767005,0.01951456,-0.126835
36,Left180_1,0.7135356,-0.2998593,0.06487186,-0.2340055,0.2718089,0.03527707,0.1334645,-0.02644381,1.436242,0.06779886,-0.4396871,0.05033202,0.07439628,0.09053349,0.2637134,-0.5858958,0.1530526,0.01533628,-0.01367778
37,Left180_1,0.7306692,-0.3083433,0.06582391,-0.2318842,0.2730738,0.041851,0.1203631,-0.02299373,1.436457,0.06806125,-0.4241988,0.04760288,0.1060665,0.06324351,0.3286962,-0.6550692,0.172504,0.01074672,0.01311973
38,Left180_1,0.7476942,-0.3134789,0.06881993,-0.2331017,0.2720942,0.04357341,0.1123778,-0.02134854,1.436344,0.06898726,-0.2567798,0.149801,-0.06087944,-0.04897714,0.08612089,-0.3992651,0.08225954,-0.005680323,0.04630014
39,Left180_1,0.7816179,-0.3235584,0.07561588,-0.2365961,0.2686801,0.04473743,0.09909721,-0.0178344,1.436242,0.07040943,-0.5039781,0.3397971,-0.1747176,-0.1707092,0.05820096,-0.6640289,0.1757069,-0.005090237,0.07110871
40,Left180_1,0.7986311,-0.3291315,0.07910021,-0.2382573,0.2666735,0.04498978,0.09296486,-0.01555128,1.436332,0.07070009,-0.2786547,0.1742169,-0.08305907,-0.100328,0.01261756,-0.3066175,0.1141558,0.004500151,0.0145331
41,Left180_1,0.815664,-0.3375288,0.08250736,-0.2370199,0.2630706,0.04606928,0.08422638,-0.01112831,1.436444,0.07199953,-0.4198641,0.1703572,0.06186664,-0.1801431,0.05397499,-0.436924,0.2211488,0.005584955,0.06497167
42,Left180_1,0.832702,-0.3460653,0.08601179,-0.2354115,0.259259,0.04737349,0.07541764,-0.006487044,1.436501,0.07330968,-0.4268214,0.1752216,0.08042008,-0.1905829,0.06521028,-0.440437,0.2320633,0.002861023,0.06550774
43,Left180_1,0.8496497,-0.3522294,0.08806958,-0.2322121,0.255897,0.0476702,0.06797232,-0.003183736,1.436618,0.0738488,-0.3082097,0.1028895,0.1599699,-0.1680985,0.01483541,-0.372266,0.1651654,0.005859137,0.02695583
44,Left180_1,0.8836457,-0.3641695,0.09212032,-0.2266329,0.249907,0.0478184,0.05336684,0.003716584,1.436883,0.07468724,-0.5970016,0.202537,0.2789631,-0.2995007,0.007410161,-0.7302737,0.345016,0.01324415,0.04192218
45,Left180_1,0.9006187,-0.3701248,0.09411379,-0.2241961,0.2471789,0.04757369,0.04619902,0.007402956,1.436987,0.074955,-0.2977684,0.09967349,0.1218371,-0.136403,-0.01223534,-0.358391,0.1843186,0.005185604,0.01338795
46,Left180_1,0.9176449,-0.3772417,0.09748248,-0.2209047,0.2432309,0.04524413,0.03801831,0.01358577,1.437129,0.07530842,-0.3558427,0.1684345,0.1645699,-0.1974039,-0.1164783,-0.4090358,0.3091405,0.007104874,0.01767091
47,Left180_1,0.9345925,-0.3838616,0.1005284,-0.2173305,0.2394581,0.04314716,0.03023349,0.01937865,1.437259,0.07545492,-0.330995,0.1522962,0.1787126,-0.1886398,-0.1048485,-0.3892408,0.2896444,0.006526709,0.007325038
48,Left180_1,0.9516121,-0.3857527,0.1001194,-0.2128553,0.2390351,0.04240161,0.02469407,0.02068797,1.43798,0.07503606,-0.09455383,-0.02045222,0.2237611,-0.02115071,-0.03727749,-0.2769712,0.06546555,0.03601909,-0.02094321
49,Left180_1,0.9686699,-0.3875591,0.09950136,-0.2081022,0.238802,0.04163577,0.01927444,0.0220174,1.438645,0.07479481,-0.09032041,-0.03090017,0.2376549,-0.01165494,-0.0382917,-0.2709814,0.06647157,0.03328919,-0.01206249
50,Left180_1,1.002626,-0.3922062,0.09679601,-0.198979,0.2400069,0.03952329,0.006887471,0.02439448,1.439786,0.07407913,-0.2323553,-0.1352672,0.4561588,0.06024688,-0.1056241,-0.6193485,0.1188541,0.05704761,-0.03578402
51,Left180_1,1.019614,-0.3958258,0.09647889,-0.1918689,0.2397036,0.03800888,-0.0009379843,0.02676263,1.44071,0.07066691,-0.1809791,-0.01585595,0.3555022,-0.01516268,-0.07572081,-0.3912728,0.1184078,0.0461638,-0.1706108
52,Left180_1,1.036552,-0.3990357,0.09605142,-0.1844816,0.2392656,0.03661393,-0.008401897,0.02906204,1.441478,0.067575,-0.1604959,-0.02137385,0.3693692,-0.02190322,-0.06974749,-0.3731956,0.1149702,0.03843307,-0.1545954
53,Left180_1,1.053573,-0.4012446,0.09562842,-0.1766288,0.2384349,0.03530065,-0.01470971,0.03148773,1.441828,0.06608239,-0.1104474,-0.02114996,0.3926396,-0.04153177,-0.06566383,-0.3153908,0.1212846,0.01748204,-0.0746306
54,Left180_1,1.070554,-0.4032008,0.09511013,-0.1687967,0.2379206,0.03413544,-0.02103343,0.033673,1.442149,0.0647022,-0.09780973,-0.02591424,0.391604,-0.02571717,-0.05826037,-0.316186,0.1092635,0.01603365,-0.06900951
55,Left180_1,1.087549,-0.404843,0.09435316,-0.161277,0.2385329,0.0333386,-0.02770372,0.03518476,1.442426,0.0639341,-0.08210689,-0.03784858,0.3759824,0.03061295,-0.03984198,-0.3335142,0.075588,0.01388192,-0.03840476
56,Left180_1,1.121499,-0.4089083,0.09208082,-0.1443502,0.2382648,0.03102406,-0.03865737,0.04048141,1.442948,0.06187014,-0.2032667,-0.1136169,0.8463435,-0.01340508,-0.1157272,-0.5476826,0.2648324,0.02606511,-0.1031984
57,Left180_1,1.13851,-0.4105461,0.09033465,-0.1338797,0.2372304,0.02900435,-0.0428782,0.0442596,1.443277,0.05970833,-0.08188784,-0.08730888,0.5235225,-0.05171522,-0.1009855,-0.2110414,0.1889097,0.0164628,-0.10809
58,Left180_1,1.155499,-0.4107076,0.08773778,-0.120338,0.2350608,0.02556349,-0.04590888,0.04900237,1.443811,0.05536555,-0.008077919,-0.1298435,0.6770879,-0.1084812,-0.1720428,-0.1515344,0.2371386,0.026685,-0.217139
59,Left180_1,1.172606,-0.4093566,0.08488704,-0.1069982,0.2331941,0.0226501,-0.04942424,0.05238779,1.444232,0.05174406,0.06754994,-0.1425371,0.6669875,-0.09333715,-0.1456696,-0.175768,0.1692709,0.02108812,-0.1810748
60,Left180_1,1.189551,-0.405531,0.08158956,-0.09483382,0.2317354,0.02066602,-0.05416722,0.0532814,1.444582,0.04983275,0.1912832,-0.1648735,0.6082196,-0.07293224,-0.09920429,-0.2371488,0.04468057,0.01749396,-0.09556562
61,Left180_1,1.223646,-0.3917197,0.07399725,-0.06232997,0.2284258,0.01532005,-0.06389102,0.05523374,1.445145,0.04486448,0.6905615,-0.3796157,1.625193,-0.1654834,-0.2672985,-0.4861899,0.09761695,0.02813339,-0.2484134
62,Left180_1,1.240594,-0.3838007,0.07074077,-0.04595995,0.2268372,0.01286686,-0.06843306,0.05572436,1.445323,0.04280809,0.3959522,-0.1628239,0.8185011,-0.0794284,-0.1226593,-0.2271023,0.02453104,0.008922815,-0.1028197
63,Left180_1,1.257543,-0.3767783,0.06807815,-0.03181425,0.2252715,0.01105979,-0.07277223,0.05555296,1.445481,0.04173489,0.3511205,-0.1331311,0.7072849,-0.07828325,-0.09035333,-0.2169583,-0.008569844,0.007861853,-0.05365983
64,Left180_1,1.27451,-0.3701079,0.06575042,-0.01764408,0.223787,0.009377912,-0.07753067,0.05524911,1.445608,0.04109598,0.3335178,-0.1163866,0.7085085,-0.07422566,-0.0840941,-0.2379224,-0.01519267,0.006377697,-0.03194548
65,Left180_1,1.291518,-0.3640259,0.06382038,-0.003447586,0.2224418,0.007821172,-0.08274772,0.05484078,1.445699,0.04096494,0.3040999,-0.09650216,0.7098247,-0.06726012,-0.07783696,-0.2608523,-0.02041627,0.004535913,-0.006551854
66,Left180_1,1.308496,-0.3566747,0.06224021,0.01456145,0.2204222,0.005902255,-0.09012479,0.05431052,1.445536,0.04070188,0.3675595,-0.07900819,0.9004518,-0.1009792,-0.09594588,-0.3688537,-0.02651345,-0.008136034,-0.01315307
67,Left180_1,1.34251,-0.3393992,0.06126971,0.05547748,0.215359,0.001883448,-0.1082621,0.05291044,1.444545,0.03998298,0.8637786,-0.04852526,2.045802,-0.2531618,-0.2009403,-0.9068638,-0.07000361,-0.04954338,-0.03594495
68,Left180_1,1.359513,-0.33176,0.06191627,0.0722888,0.2135607,0.0005332627,-0.1160319,0.05200644,1.443954,0.03973584,0.381957,0.03232807,0.8405657,-0.0899151,-0.06750926,-0.3884915,-0.04520006,-0.02955198,-0.01235716
69,Left180_1,1.376462,-0.3242726,0.06289396,0.08750553,0.2118773,-0.0005130629,-0.1236835,0.05094251,1.443292,0.03992825,0.3743723,0.04888475,0.7608369,-0.08416921,-0.05231628,-0.3825776,-0.05319659,-0.0330925,0.009620748
70,Left180_1,1.393469,-0.3167978,0.06415111,0.1016493,0.2101915,-0.001353542,-0.1313079,0.04977563,1.442568,0.04044688,0.373739,0.0628572,0.7071905,-0.08428991,-0.04202396,-0.3812246,-0.05834419,-0.03621578,0.02593156
71,Left180_1,1.410459,-0.3095326,0.06564408,0.1156808,0.208401,-0.002029024,-0.1390712,0.04852991,1.441765,0.04119915,0.3632575,0.07464848,0.7015746,-0.08952543,-0.0337741,-0.3881618,-0.06228592,-0.04017353,0.03761332
72,Left180_1,1.427407,-0.3023178,0.06738479,0.1294685,0.2064747,-0.002610805,-0.1468982,0.04726017,1.440891,0.04210545,0.3607422,0.08703582,0.689384,-0.09631515,-0.02908907,-0.3913492,-0.06348677,-0.04368424,0.0453148
73,Left180_1,1.461432,-0.28515,0.07132737,0.1609415,0.2033651,-0.002177226,-0.1656118,0.04730393,1.438589,0.04367549,0.8583888,0.197129,1.573648,-0.1554824,0.02167899,-0.9356841,0.002187863,-0.1150846,0.07850211
74,Left180_1,1.478454,-0.2777024,0.07334653,0.1732672,0.2022216,-0.002127048,-0.1710531,0.04713497,1.437932,0.04175154,0.3723815,0.1009576,0.6162875,-0.05717501,0.002508902,-0.2720624,-0.008448213,-0.03288388,-0.09619761
75,Left180_1,1.49544,-0.270918,0.07531259,0.1838612,0.2012794,-0.002211788,-0.1746079,0.04671943,1.437525,0.03865843,0.339219,0.09830333,0.5296998,-0.04710704,-0.004236994,-0.1777396,-0.02077669,-0.0203371,-0.1546552
76,Left180_1,1.512477,-0.260924,0.07658356,0.1936046,0.2023161,-0.0005527431,-0.18267,0.04370195,1.437377,0.03907756,0.4997015,0.06354861,0.4871704,0.0518322,0.08295222,-0.4031047,-0.1508739,-0.007385015,0.02095643
77,Left180_1,1.529455,-0.2498623,0.07778676,0.2030367,0.2038849,0.001818093,-0.192308,0.03975393,1.437276,0.04090182,0.5530842,0.06015971,0.4716031,0.07843971,0.1185418,-0.4819006,-0.1974011,-0.005036592,0.09121299
78,Left180_1,1.563421,-0.2333651,0.07654465,0.2119666,0.2063242,0.006723358,-0.2092536,0.03232265,1.437104,0.04403191,0.8248605,-0.06210543,0.4464939,0.121969,0.2452632,-0.8472793,-0.3715642,-0.008612871,0.1565043
79,Left180_1,1.58041,-0.2254001,0.07483349,0.2131256,0.2082416,0.009304396,-0.2169351,0.02842286,1.437132,0.04554007,0.3982507,-0.085558,0.0579536,0.09586737,0.1290519,-0.3840782,-0.1949895,0.001376867,0.07540807
80,Left180_1,1.597447,-0.2173912,0.07295658,0.2135768,0.2102782,0.01197638,-0.2245054,0.02447883,1.437154,0.04708609,0.4004441,-0.09384528,0.02255887,0.1018301,0.1335991,-0.3785111,-0.1972015,0.001108646,0.07730126
81,Left180_1,1.614395,-0.2084705,0.07051463,0.2123696,0.2110206,0.01507492,-0.2333669,0.02037327,1.437265,0.04874114,0.4460327,-0.1220975,-0.06036088,0.03712028,0.154927,-0.4430763,-0.2052779,0.005549192,0.08275248
82,Left180_1,1.631355,-0.1993704,0.06805033,0.2107854,0.2114061,0.01836227,-0.2424785,0.0162579,1.437342,0.05046488,0.4550092,-0.1232151,-0.07920861,0.01927391,0.1643676,-0.4555792,-0.2057686,0.003862381,0.08618664
83,Left180_1,1.648356,-0.1862874,0.06370147,0.2033494,0.2122019,0.02416896,-0.2586622,0.01102189,1.437496,0.05511624,0.6541476,-0.217443,-0.3718004,0.03979355,0.2903344,-0.809186,-0.2618006,0.007712841,0.2325684
84,Left180_1,1.682462,-0.1625366,0.05923438,0.1895566,0.2138363,0.03584431,-0.2840485,-0.001018254,1.437055,0.06296336,1.187541,-0.2233546,-0.6896414,0.08171946,0.5837679,-1.269314,-0.602007,-0.0220716,0.3923558
85,Left180_1,1.699436,-0.153557,0.059513,0.1845362,0.2150802,0.04109367,-0.2916636,-0.00775465,1.436434,0.06560402,0.4489772,0.0139311,-0.2510175,0.06219596,0.2624677,-0.380756,-0.3368198,-0.03103614,0.1320329
86,Left180_1,1.716418,-0.150106,0.06176946,0.1725017,0.2134833,0.04535639,-0.3001165,-0.01168952,1.434981,0.07439949,0.1725517,0.1128227,-0.6017268,-0.07984489,0.2131362,-0.4226476,-0.1967436,-0.07265806,0.4397735
87,Left180_1,1.733356,-0.146759,0.06461958,0.161305,0.2116602,0.0498304,-0.3086233,-0.01537662,1.433236,0.0833291,0.1673497,0.1425061,-0.5598359,-0.09115934,0.2237003,-0.4253373,-0.1843551,-0.08726716,0.4464805
88,Left180_1,1.750359,-0.1424727,0.06290213,0.1533976,0.2133594,0.05533208,-0.315022,-0.01775753,1.43316,0.08636938,0.2143174,-0.08587241,-0.395371,0.08496195,0.2750842,-0.3199369,-0.1190454,-0.003802776,0.1520142
89,Left180_1,1.767362,-0.1383489,0.06135477,0.1454277,0.2149008,0.06084829,-0.3213618,-0.02007244,1.433058,0.08942529,0.2061881,-0.07736813,-0.3984928,0.07706881,0.2758105,-0.3169894,-0.1157454,-0.005090237,0.1527954
90,Left180_1,1.801263,-0.1341714,0.05991347,0.1286658,0.2167907,0.06981856,-0.3339153,-0.0234864,1.433142,0.09516969,0.2088733,-0.072065,-0.8380942,0.09449422,0.4485136,-0.6276742,-0.1706978,0.004190207,0.2872199
91,Left180_1,1.81834,-0.1316274,0.06004333,0.1189546,0.2178161,0.07399634,-0.3397184,-0.02541138,1.433089,0.09817425,0.1272015,0.006493367,-0.4855637,0.05127192,0.2088889,-0.2901554,-0.0962493,-0.002646446,0.1502283
92,Left180_1,1.835308,-0.1290228,0.06036689,0.1100997,0.2187774,0.07815627,-0.3453867,-0.02714921,1.432971,0.1011071,0.130228,0.01617782,-0.4427411,0.04806742,0.2079964,-0.2834141,-0.08689146,-0.005894899,0.1466446
93,Left180_1,1.852336,-0.126481,0.06032015,0.1029146,0.2195123,0.08209884,-0.3502505,-0.02764138,1.432792,0.1039663,0.1270927,-0.002337061,-0.3592588,0.03674254,0.1971286,-0.2431884,-0.02460824,-0.008940697,0.1429562
94,Left180_1,1.869349,-0.1241194,0.06020959,0.09588753,0.2202881,0.08587717,-0.3547195,-0.02804449,1.43262,0.1067351,0.1180783,-0.005527958,-0.3513515,0.03879145,0.1889162,-0.2234548,-0.02015568,-0.008606911,0.13844
95,Left180_1,1.903352,-0.1211484,0.05823593,0.08364499,0.2223966,0.09104437,-0.3596224,-0.02800248,1.432558,0.1114056,0.1485515,-0.09868313,-0.6121274,0.105425,0.2583601,-0.2451405,0.002100505,-0.0030756,0.2335258
96,Left180_1,1.920359,-0.1223876,0.05578217,0.07853224,0.2232633,0.09215157,-0.3605723,-0.02743617,1.432563,0.1141617,-0.06196238,-0.1226878,-0.2556373,0.04333258,0.05536042,-0.04749596,0.02831556,0.0002563,0.1378048
97,Left180_1,1.937338,-0.1231152,0.05348397,0.07315331,0.2243333,0.09352165,-0.3614884,-0.02692788,1.432523,0.1169087,-0.03637597,-0.1149099,-0.2689466,0.05349889,0.06850362,-0.04580766,0.0254143,-0.002044439,0.1373533
98,Left180_1,1.95434,-0.1221861,0.05153822,0.06695331,0.2257338,0.09591614,-0.3626306,-0.0266153,1.43239,0.1196576,0.04645288,-0.09728763,-0.31,0.07002577,0.1197249,-0.0571087,0.01562908,-0.006633997,0.1374435
99,Left180_1,1.971344,-0.1212446,0.04974042,0.06062085,0.2270961,0.09826087,-0.3630114,-0.02653622,1.432205,0.1223484,0.04707687,-0.08989032,-0.3166229,0.06811693,0.1172364,-0.01903772,0.003954116,-0.00924468,0.1345377
100,Left180_1,1.988315,-0.1202491,0.04822301,0.05393448,0.2284021,0.1006138,-0.3615346,-0.02714512,1.431952,0.1249244,0.04977062,-0.07587001,-0.3343185,0.06529838,0.117648,0.07383823,-0.03044503,-0.01263022,0.1288015
101,Left180_1,2.022311,-0.1163301,0.04672054,0.03946413,0.2270936,0.1033954,-0.3538071,-0.02576276,1.432107,0.1269734,0.1959503,-0.07512383,-0.7235175,-0.06542578,0.1390778,0.3863767,0.06911792,0.007712841,0.1024518
102,Left180_1,2.03926,-0.1141542,0.0465185,0.03308199,0.2262973,0.1035611,-0.3482261,-0.02455528,1.432381,0.1268263,0.1087964,-0.01010206,-0.3191073,-0.03981218,0.008285046,0.2790481,0.0603741,0.01373887,-0.007358193
103,Left180_1,2.05624,-0.1122768,0.04652463,0.02869089,0.2269403,0.1022187,-0.3416597,-0.02375404,1.432745,0.1260758,0.09387247,0.0003064051,-0.219555,0.03214702,-0.06711707,0.3283203,0.04006214,0.01818538,-0.03752112
104,Left180_1,2.073327,-0.1103789,0.04638041,0.02386368,0.2275411,0.1006442,-0.3346673,-0.02320068,1.433035,0.1256752,0.09489283,-0.007210672,-0.2413602,0.03004447,-0.07872768,0.3496215,0.02766764,0.01448393,-0.02003089
105,Left180_1,2.090275,-0.1084788,0.04600497,0.01840955,0.2280509,0.09871709,-0.3271485,-0.02304396,1.433214,0.1258453,0.09500384,-0.0187723,-0.2727067,0.02548546,-0.09635538,0.3759384,0.007836241,0.008964539,0.008504093
106,Left180_1,2.124226,-0.106454,0.04466032,0.008738564,0.2294119,0.09233968,-0.3080521,-0.02261956,1.434005,0.1243563,0.1012433,-0.06723218,-0.4835492,0.06805286,-0.3188703,0.9548187,0.02121972,0.03954172,-0.07445179
